episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time,lane_2_time
0,1,right_lane,nop,True,nan,40,0,24.518957345941836,13.0,0.0,13.771613753497604,53.5,40.0,13.5,nan,0.0,0,0,0,0,11.0,4.0,25.0
1,1,right_lane,nop,True,nan,40,0,23.141504197449517,16.5,0.0,16.61315187383525,52.0,40.0,12.0,nan,0.0,0,0,0,0,1.0,30.0,9.0
2,1,right_lane,nop,True,nan,40,0,23.499999999970278,29.0,0.0,27.068389591810956,45.75,40.0,5.75,nan,0.0,0,0,0,0,25.0,7.0,8.0
3,1,right_lane,nop,True,nan,40,0,24.64395239570556,10.5,0.0,10.917994049632739,54.5,40.0,14.5,nan,0.0,0,0,0,0,0.0,20.0,20.0
4,1,right_lane,nop,True,nan,40,0,20.518957345971565,1.0,0.0,4.669877327978611,59.25,40.0,19.25,nan,0.0,0,0,0,0,0.0,2.0,38.0
5,1,right_lane,nop,True,nan,40,0,22.518957345971565,31.0,0.0,28.753982578472232,45.0,40.0,5.0,nan,0.0,0,0,0,0,28.0,4.0,8.0
6,1,right_lane,nop,True,nan,40,0,22.768956608239428,34.0,0.0,31.90012986212969,43.0,40.0,3.0,nan,0.0,0,0,0,0,29.0,8.0,3.0
7,1,right_lane,nop,True,nan,40,0,21.893957345971558,19.0,0.0,18.257888646563515,50.5,40.0,10.5,nan,0.0,0,0,0,0,16.0,4.0,20.0
8,1,right_lane,nop,True,nan,40,0,21.268957345971565,28.0,0.0,27.78441170603037,45.75,40.0,5.75,nan,0.0,0,0,0,0,21.0,15.0,4.0
9,1,right_lane,nop,True,nan,40,0,22.018957345971565,23.0,0.0,22.2388646960826,48.25,40.0,8.25,nan,0.0,0,0,0,0,21.0,5.0,14.0
10,1,right_lane,nop,True,nan,40,0,23.14146090535031,33.5,0.0,31.84229574352503,43.25,40.0,3.25,nan,0.0,0,0,0,0,32.0,3.0,5.0
11,1,right_lane,nop,True,nan,40,0,20.768957345971565,6.0,0.0,8.890764281153679,57.0,40.0,17.0,nan,0.0,0,0,0,0,0.0,13.0,27.0
12,1,right_lane,nop,True,nan,40,0,21.372832407624884,10.0,0.0,11.755807281786588,55.25,40.0,15.25,nan,0.0,0,0,0,0,10.0,1.0,29.0
13,1,right_lane,nop,True,nan,40,0,22.76895174381868,11.0,0.0,11.037508878543122,54.5,40.0,14.5,nan,0.0,0,0,0,0,9.0,3.0,28.0
14,1,right_lane,nop,True,nan,40,0,22.643957345971565,24.5,0.0,23.254115671356317,48.0,40.0,8.0,nan,0.0,0,0,0,0,20.0,8.0,12.0
15,1,right_lane,nop,True,nan,40,0,23.768957345971565,15.5,0.0,17.440439328551292,51.75,40.0,11.75,nan,0.0,0,0,0,0,16.0,1.0,23.0
16,1,right_lane,nop,True,nan,40,0,22.393957345971565,30.5,0.0,28.423238404401218,45.25,40.0,5.25,nan,0.0,0,0,0,0,28.0,5.0,7.0
17,1,right_lane,nop,True,nan,40,0,20.893957345971565,17.5,0.0,18.48368313908577,50.75,40.0,10.75,nan,0.0,0,0,0,0,4.0,28.0,8.0
18,1,right_lane,nop,True,nan,40,0,22.268952382686383,34.5,0.0,31.925761073827744,43.25,40.0,3.25,nan,0.0,0,0,0,0,28.0,11.0,1.0
19,1,right_lane,nop,True,nan,40,0,24.768957345971565,10.5,0.0,12.45118887186436,54.25,40.0,14.25,nan,0.0,0,0,0,0,6.0,10.0,24.0
20,1,right_lane,nop,True,nan,40,0,25.3939573444828,32.0,0.0,30.58292495225396,44.5,40.0,4.5,nan,0.0,0,0,0,0,27.0,10.0,3.0
21,1,right_lane,nop,True,nan,40,0,21.518957345967646,17.5,0.0,17.217931549996138,51.25,40.0,11.25,nan,0.0,0,0,0,0,16.0,1.0,23.0
22,1,right_lane,nop,True,nan,40,0,21.143957345971565,0.0,0.0,3.845197072461815,59.5,40.0,19.5,nan,0.0,0,0,0,0,0.0,1.0,39.0
23,1,right_lane,nop,True,nan,40,0,21.518957345971565,39.5,0.0,35.508740320801735,40.75,40.0,0.75,nan,0.0,0,0,0,0,38.0,1.0,1.0
24,1,right_lane,nop,True,nan,40,0,22.893957345971565,10.5,0.0,11.266650337209285,54.5,40.0,14.5,nan,0.0,0,0,0,0,0.0,20.0,20.0
25,1,right_lane,nop,True,nan,40,0,25.766455204332555,28.5,0.0,27.176701180807868,46.0,40.0,6.0,nan,0.0,0,0,0,0,24.0,9.0,7.0
26,1,right_lane,nop,True,nan,40,0,21.893957345971565,0.0,0.0,2.6141057767526945,59.5,40.0,19.5,nan,0.0,0,0,0,0,0.0,0.0,40.0
27,1,right_lane,nop,True,nan,40,0,21.018957345971057,27.5,0.0,25.909804485738277,46.75,40.0,6.75,nan,0.0,0,0,0,0,26.0,2.0,12.0
28,1,right_lane,nop,True,nan,40,0,21.375043292099726,34.0,0.0,31.112631924450397,43.0,40.0,3.0,nan,0.0,0,0,0,0,30.0,7.0,3.0
29,1,right_lane,nop,True,nan,40,0,22.768957345971565,39.5,0.0,35.64577563107014,40.25,40.0,0.25,nan,0.0,0,0,0,0,38.0,1.0,1.0
30,1,right_lane,nop,True,nan,40,0,23.87500009886436,23.5,0.0,22.391709373594495,48.25,40.0,8.25,nan,0.0,0,0,0,0,14.0,17.0,9.0
31,1,right_lane,nop,True,nan,40,0,21.018957345971565,0.0,0.0,3.8961155275255805,59.5,40.0,19.5,nan,0.0,0,0,0,0,0.0,1.0,39.0
32,1,right_lane,nop,True,nan,14,1,22.19702098359173,13.0,0.0,12.116511970758438,15.0,14.0,1.0,nan,0.0,0,0,0,0,11.0,2.0,1.0
33,1,right_lane,nop,True,nan,40,0,21.143957345971554,35.5,0.0,32.83574005961418,42.25,40.0,2.25,nan,0.0,0,0,0,0,31.0,9.0,0.0
34,1,right_lane,nop,True,nan,40,0,23.26895734426102,31.0,0.0,29.396875619888306,44.5,40.0,4.5,nan,0.0,0,0,0,0,30.0,2.0,8.0
35,1,right_lane,nop,True,nan,40,0,25.518957247107203,30.5,0.0,29.804683782160282,44.5,40.0,4.5,nan,0.0,0,0,0,0,23.0,15.0,2.0
36,1,right_lane,nop,True,nan,40,0,20.893957345971565,10.0,0.0,12.987482598051429,54.75,40.0,14.75,nan,0.0,0,0,0,0,9.0,4.0,27.0
37,1,right_lane,nop,True,nan,40,0,22.518950894425,12.5,0.0,13.290916122903582,54.0,40.0,14.0,nan,0.0,0,0,0,0,6.0,13.0,21.0
38,1,right_lane,nop,True,nan,40,0,20.643957345971565,40.0,0.0,36.28548860549927,40.25,40.0,0.25,nan,0.0,0,0,0,0,40.0,0.0,0.0
39,1,right_lane,nop,True,nan,40,0,24.393957345971565,18.0,0.0,18.26965854771322,50.5,40.0,10.5,nan,0.0,0,0,0,0,7.0,23.0,10.0
40,1,right_lane,nop,True,nan,40,0,23.893957345971565,26.5,0.0,24.47864399509126,47.0,40.0,7.0,nan,0.0,0,0,0,0,25.0,3.0,12.0
41,1,right_lane,nop,True,nan,40,0,22.768957345971565,22.5,0.0,22.341396033443743,48.75,40.0,8.75,nan,0.0,0,0,0,0,13.0,19.0,8.0
42,1,right_lane,nop,True,nan,40,0,22.143957345971565,19.5,0.0,20.03582326322794,50.0,40.0,10.0,nan,0.0,0,0,0,0,15.0,10.0,15.0
43,1,right_lane,nop,True,nan,40,0,25.01895734596758,26.0,0.0,24.542432467897243,47.5,40.0,7.5,nan,0.0,0,0,0,0,22.0,6.0,12.0
44,1,right_lane,nop,True,nan,40,0,23.250005701017248,8.5,0.0,10.042658920079703,55.5,40.0,15.5,nan,0.0,0,0,0,0,7.0,4.0,29.0
45,1,right_lane,nop,True,nan,40,0,22.768957345971565,10.0,0.0,13.225822538137436,54.75,40.0,14.75,nan,0.0,0,0,0,0,10.0,2.0,28.0
46,1,right_lane,nop,True,nan,40,0,21.768919754889083,7.5,0.0,8.95928977856397,56.5,40.0,16.5,nan,0.0,0,0,0,0,0.0,14.0,26.0
47,1,right_lane,nop,True,nan,40,0,24.000005688027805,37.0,0.0,35.00522339344025,41.75,40.0,1.75,nan,0.0,0,0,0,0,34.0,6.0,0.0
48,1,right_lane,nop,True,nan,40,0,23.51895659693478,39.5,0.0,36.136914029717445,40.25,40.0,0.25,nan,0.0,0,0,0,0,38.0,1.0,1.0
49,1,right_lane,nop,True,nan,40,0,21.268957345971565,40.0,0.0,36.53433668613434,40.0,40.0,0.0,nan,0.0,0,0,0,0,40.0,0.0,0.0
50,1,right_lane,nop,True,nan,40,0,24.018957345971565,28.0,0.0,26.172998829341054,46.0,40.0,6.0,nan,0.0,0,0,0,0,24.0,7.0,9.0
51,1,right_lane,nop,True,nan,40,0,23.643957345971565,26.5,0.0,26.09750137478113,46.25,40.0,6.25,nan,0.0,0,0,0,0,26.0,3.0,11.0
52,1,right_lane,nop,True,nan,40,0,21.518957345971565,33.5,0.0,30.705951339178455,43.75,40.0,3.75,nan,0.0,0,0,0,0,32.0,3.0,5.0
53,1,right_lane,nop,True,nan,40,0,22.14391480462308,39.5,0.0,35.64351247251034,40.25,40.0,0.25,nan,0.0,0,0,0,0,38.0,1.0,1.0
54,1,right_lane,nop,True,nan,40,0,24.51895734403133,25.5,0.0,26.494205590337515,46.75,40.0,6.75,nan,0.0,0,0,0,0,24.0,5.0,11.0
55,1,right_lane,nop,True,nan,40,0,22.14395164644692,16.0,0.0,15.478042377970269,52.5,40.0,12.5,nan,0.0,0,0,0,0,15.0,2.0,23.0
56,1,right_lane,nop,True,nan,40,0,22.518957345971565,2.0,0.0,4.916901239146682,58.5,40.0,18.5,nan,0.0,0,0,0,0,1.0,4.0,35.0
57,1,right_lane,nop,True,nan,40,0,24.51895734403141,35.5,0.0,33.29339385032654,42.75,40.0,2.75,nan,0.0,0,0,0,0,31.0,9.0,0.0
58,1,right_lane,nop,True,nan,40,0,22.768957345971486,18.0,0.0,19.049434161161116,50.5,40.0,10.5,nan,0.0,0,0,0,0,17.0,4.0,19.0
59,1,right_lane,nop,True,nan,40,0,21.26895733317816,24.5,0.0,22.577258508905288,48.25,40.0,8.25,nan,0.0,0,0,0,0,19.0,10.0,11.0
60,1,right_lane,nop,True,nan,40,0,23.143957345971565,30.0,0.0,27.734700366854668,45.0,40.0,5.0,nan,0.0,0,0,0,0,19.0,20.0,1.0
61,1,right_lane,nop,True,nan,40,0,25.893957345971565,18.0,0.0,19.129337860244277,50.75,40.0,10.75,nan,0.0,0,0,0,0,17.0,3.0,20.0
62,1,right_lane,nop,True,nan,40,0,22.643957345971565,13.0,0.0,14.611354358494282,53.75,40.0,13.75,nan,0.0,0,0,0,0,12.0,2.0,26.0
63,1,right_lane,nop,True,nan,32,1,21.42994668246437,5.0,0.0,6.030008369376446,45.0,32.0,13.0,nan,0.0,0,0,0,0,4.0,2.0,26.0
64,1,right_lane,nop,True,nan,40,0,21.018957345971565,22.5,0.0,22.315165102481842,49.0,40.0,9.0,nan,0.0,0,0,0,0,8.0,29.0,3.0
65,1,right_lane,nop,True,nan,40,0,21.62749644062177,9.0,0.0,9.776056379079819,55.75,40.0,15.75,nan,0.0,0,0,0,0,0.0,16.0,24.0
66,1,right_lane,nop,True,nan,40,0,22.641466606367043,32.5,0.0,30.424500644207,43.75,40.0,3.75,nan,0.0,0,0,0,0,28.0,9.0,3.0
