episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time,mean_courtesy_gap_violation,courtesy_active_steps
0,1,merge_courtesy,adaptive,True,0.005,12,0,30.0,6.530244116167301,0.0,5.433424144983292,12.8954012308784,18.900000000000002,-6.0045987691216,18.0,1.0,3,0,9,0,0.0,12.0,41.62979692060097,9
1,1,merge_courtesy,adaptive,True,0.005,13,0,27.749774584894283,1.8779250510651817,1.1772698490211075,2.111167147755623,16.16711628315087,18.22822649463793,-2.061110211487056,18.0,1.0,7,0,6,0,7.0,6.0,16.48373958767251,5
2,1,merge_courtesy,adaptive,True,0.005,12,0,28.813046846239462,3.2636709049357213,0.0,2.6554907858371735,15.53472337955785,18.33026248619494,-2.795539106637092,18.0,1.0,6,0,6,0,0.0,12.0,21.147254065357632,6
3,1,merge_courtesy,adaptive,True,0.005,12,0,30.0,7.158337147968271,0.0,6.019003480672836,12.352312535012048,18.900000000000002,-6.547687464987952,18.0,1.0,2,0,10,0,0.0,12.0,41.94318066216726,10
4,1,merge_courtesy,adaptive,True,0.005,13,0,27.42333905172183,3.334819153365022,0.0,2.7133413553237915,16.25607258416259,19.160136306895346,-2.90406372273276,18.0,1.0,7,0,6,0,0.0,13.0,22.429174179189506,6
5,1,merge_courtesy,adaptive,True,0.005,13,0,27.750637683406776,2.7406918081605247,0.6549828634538597,2.7523639798164368,15.99867564933672,19.02867248049455,-3.0299968311578285,18.0,1.0,7,0,6,0,2.0,11.0,23.897368124702705,6
6,1,merge_courtesy,adaptive,True,0.005,12,0,30.0,1.3255284092497304,3.9574967750778822,2.6704789996147156,15.568108313773752,17.399291829928735,-1.831183516154986,18.0,1.0,3,0,9,0,9.0,3.0,33.95580500979037,3
7,1,merge_courtesy,adaptive,True,0.005,13,0,26.655102277460422,3.2600743589114067,0.0,2.6540906727313995,15.922867921726128,18.760653184279416,-2.8377852625532927,18.0,1.0,7,0,6,0,0.0,13.0,21.4200939974375,6
8,1,merge_courtesy,adaptive,True,0.005,13,0,27.80128461713882,3.2219938513530657,0.0,2.616121292114258,16.619264743099297,19.35666800091218,-2.737403257812888,18.0,1.0,7,0,6,0,0.0,13.0,20.467870904596847,6
9,1,merge_courtesy,adaptive,True,0.005,13,0,27.03872567291224,2.538284513473454,0.6385398751985859,2.5772289037704468,15.804862106037229,18.558492478013633,-2.753630371976408,18.0,1.0,7,0,6,0,3.0,10.0,20.191813260660982,6
10,1,merge_courtesy,adaptive,True,0.005,13,0,28.135251062216373,2.055630340746855,1.2653032791753778,2.312265068292618,16.65625178993758,18.928670492746292,-2.272418702808715,18.0,1.0,7,0,6,0,4.0,9.0,19.89532818602634,5
11,1,merge_courtesy,adaptive,True,0.005,12,0,29.638203017832648,6.886926123523256,0.0,5.753130733966827,12.35470213985447,18.726337448559672,-6.3716353087052005,18.0,1.0,3,0,9,0,0.0,12.0,46.60113765569381,9
12,1,merge_courtesy,adaptive,True,0.005,13,0,27.03872567291224,3.084739695452032,0.7027391479301102,3.2701782286167145,15.18367340627445,18.658478235036142,-3.4748048287616946,18.0,1.0,6,0,7,0,2.0,11.0,30.906458075116316,6
13,1,merge_courtesy,adaptive,True,0.005,12,0,29.638203017832648,3.2609123630107075,0.7268210360153521,3.2642334699630737,14.132401032733867,17.825629278488407,-3.693228245754538,18.0,1.0,6,0,6,0,6.0,6.0,34.78346619532825,6
14,1,merge_courtesy,adaptive,True,0.005,12,0,30.0,2.044841659738281,3.1326901472329465,3.0417399741709232,15.232915050317729,17.798583827955117,-2.565668777637386,18.0,1.0,3,0,9,0,7.0,5.0,37.43972685488575,4
15,1,merge_courtesy,adaptive,True,0.005,12,0,29.638203017832648,6.945423108672074,0.0,5.808850049972534,12.26588529035396,18.726337448559672,-6.460452158205711,18.0,1.0,3,0,9,0,0.0,12.0,47.686529128045585,9
16,1,merge_courtesy,adaptive,True,0.005,12,0,29.2224878754412,1.7707116752900598,2.0979480016836085,2.2972565293312073,15.082228123856368,17.226086010140513,-2.143857886284141,18.0,1.0,6,0,6,0,8.0,4.0,26.61436705911722,4
17,1,merge_courtesy,adaptive,True,0.005,13,0,27.693449821127423,3.1383387028378102,0.7017073341514819,3.304100200533867,14.655836088104197,18.199885457509055,-3.544049369404863,18.0,1.0,6,0,7,0,7.0,6.0,32.09241966485199,6
18,1,merge_courtesy,adaptive,True,0.005,13,0,27.039601997206645,1.7076786635893282,1.3652086093711913,2.2419223189353943,15.4331553198042,17.45988486847619,-2.02672954867199,18.0,1.0,7,0,6,0,9.0,4.0,24.122992027132376,4
19,1,merge_courtesy,adaptive,True,0.005,13,0,27.42420215023432,3.5754855114162063,0.0,2.9319347143173218,15.939913431574487,19.160585118121844,-3.2206716865473606,18.0,1.0,7,0,6,0,0.0,13.0,26.87186244139424,6
20,1,merge_courtesy,adaptive,True,0.005,13,0,27.80128461713882,2.239585941327392,1.3626852009549704,2.5183504074811935,16.264486476881522,18.755007941304726,-2.490521464423206,18.0,1.0,7,0,6,0,4.0,9.0,23.769039502261997,5
21,1,merge_courtesy,adaptive,True,0.005,14,0,26.13261738179234,3.1305609161080925,0.7073428764747237,3.1439011693000793,15.120833127262655,18.633557284326507,-3.5127241570638557,18.0,1.0,8,0,6,0,8.0,6.0,31.685857606615645,6
22,1,merge_courtesy,adaptive,True,0.005,13,0,26.981537810632876,3.1916194966319162,0.7159427877127881,3.1997864842414856,14.23057769480308,17.829691212051895,-3.5991135172488162,18.0,1.0,7,0,6,0,7.0,6.0,33.13582339954973,6
23,1,merge_courtesy,adaptive,True,0.005,12,0,29.638203017832648,0.5855606767861045,5.400943555666266,2.2096927016973495,15.98494416550925,17.02562927848841,-1.0406851129791588,18.0,1.0,3,0,9,0,10.0,2.0,24.6465627302034,2
24,1,merge_courtesy,adaptive,True,0.005,12,0,29.22876198863091,2.7789024264901627,0.6706060820836699,2.8045293986797333,14.580941870453787,17.62909758447157,-3.048155714017786,18.0,1.0,6,0,6,0,6.0,6.0,24.38528398684261,6
25,1,merge_courtesy,adaptive,True,0.005,12,0,29.22876198863091,1.2822871347990545,4.809287069740574,2.6913275867700577,15.273073690535105,17.02909758447157,-1.75602389393647,18.0,1.0,3,0,9,0,9.0,3.0,31.318667378124104,3
26,1,merge_courtesy,adaptive,True,0.005,12,0,29.22876198863091,1.2533047911267252,2.149638483857146,2.0441283881664276,15.284379151129977,17.02909758447157,-1.744718433341597,18.0,1.0,6,0,6,0,9.0,3.0,30.74336972358937,3
27,1,merge_courtesy,adaptive,True,0.005,12,0,30.0,6.024469525717052,0.0,4.991779565811157,13.55071966301427,18.900000000000002,-5.34928033698573,18.0,1.0,3,0,9,0,0.0,12.0,34.35632885863524,9
28,1,merge_courtesy,adaptive,True,0.005,13,0,27.750637683406776,0.6420062547732877,3.7982546948201414,1.7712323367595673,17.051091705480978,18.228671536127383,-1.1775798306464025,18.0,1.0,7,0,6,0,6.0,7.0,31.381611440979043,2
29,1,merge_courtesy,adaptive,True,0.005,12,0,29.221552852052668,7.064065598130024,0.03744802052485374,5.933678358793259,12.142207618285607,18.52634536898528,-6.384137750699674,18.0,1.0,2,0,10,0,0.0,12.0,40.248303609000516,10
