episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time
0,1,merge_courtesy,adaptive,True,0.05,12,0,28.813046846239462,0.0,0.5502694805902181,0.26682956516742706,16.829554316123666,16.829554316123666,0.0,18.0,1.0,9,0,3,0,6.0,6.0
1,1,merge_courtesy,adaptive,True,0.05,13,0,27.42333905172183,0.0,0.0,0.0,18.010136306895355,18.010136306895355,0.0,nan,0.0,13,0,0,0,0.0,13.0
2,1,merge_courtesy,adaptive,True,0.05,12,0,28.813046846239462,0.0,0.0,0.0,17.28026248619494,17.28026248619494,0.0,nan,0.0,12,0,0,0,0.0,12.0
3,1,merge_courtesy,adaptive,True,0.05,13,0,28.12772015031127,1.5212879314694017,0.6577756049065676,1.5709279477596283,18.376414478161866,18.376414478161866,0.0,18.0,1.0,9,0,4,0,0.0,13.0
4,1,merge_courtesy,adaptive,True,0.05,13,0,27.42333905172183,0.0,0.0,0.0,18.010136306895355,18.010136306895355,0.0,nan,0.0,13,0,0,0,0.0,13.0
5,1,merge_courtesy,adaptive,True,0.05,13,0,27.80128461713882,0.0,0.0,0.0,18.206668000912188,18.206668000912188,0.0,nan,0.0,13,0,0,0,0.0,13.0
6,1,merge_courtesy,adaptive,True,0.05,12,0,30.0,0.0,2.332904387429528,0.8596841096878052,17.099291829928735,17.099291829928735,0.0,18.0,1.0,5,0,7,0,9.0,3.0
7,1,merge_courtesy,adaptive,True,0.05,13,0,26.655102277460422,0.0,0.0,0.0,17.61065318427942,17.61065318427942,0.0,nan,0.0,13,0,0,0,0.0,13.0
8,1,merge_courtesy,adaptive,True,0.05,13,0,27.80128461713882,0.0,0.0,0.0,18.206668000912188,18.206668000912188,0.0,nan,0.0,13,0,0,0,0.0,13.0
9,1,merge_courtesy,adaptive,True,0.05,13,0,27.039601997206645,0.0,0.0,0.0,17.810593038547456,17.810593038547456,0.0,nan,0.0,13,0,0,0,0.0,13.0
10,1,merge_courtesy,adaptive,True,0.05,13,0,28.135251062216373,0.0,0.0,0.0,18.38033055235252,18.38033055235252,0.0,nan,0.0,13,0,0,0,0.0,13.0
11,1,merge_courtesy,adaptive,True,0.05,12,0,30.0,0.0,1.4043619967602137,0.6230806969106197,17.298583827955117,17.298583827955117,0.0,18.0,1.0,6,0,5,1,7.0,5.0
12,1,merge_courtesy,adaptive,True,0.05,14,0,24.751184792027125,0.0,0.46200075762476833,0.2929867208003998,17.860663483535188,17.860663483535188,0.0,18.0,1.0,12,0,2,0,0.0,14.0
13,1,merge_courtesy,adaptive,True,0.05,14,0,25.822596871014063,0.0,0.49755656681568494,0.32578594982624054,17.85970303927904,17.85970303927904,0.0,18.0,1.0,12,0,2,0,8.0,6.0
14,1,merge_courtesy,adaptive,True,0.05,12,0,30.0,0.0,2.0671947948185694,0.7268761992454529,17.198583827955115,17.198583827955115,0.0,18.0,1.0,5,0,6,1,8.0,4.0
15,1,merge_courtesy,adaptive,True,0.05,12,0,29.22876198863091,0.0,2.2992503756411313,0.6801174841821194,16.92814689461186,16.92814689461186,0.0,18.0,1.0,6,0,5,1,7.0,5.0
16,1,merge_courtesy,adaptive,True,0.05,12,0,29.2224878754412,0.0,0.4394582618249837,0.16384339705109596,16.92608601014051,16.92608601014051,0.0,18.0,1.0,10,0,2,0,7.0,5.0
17,1,merge_courtesy,adaptive,True,0.05,13,0,27.6934328826567,0.0,0.04758940691630001,0.030951116234064102,17.59963389049262,17.59963389049262,0.0,18.0,1.0,11,0,2,0,7.0,6.0
18,1,merge_courtesy,adaptive,True,0.05,13,0,27.039601997206645,0.0,0.28500629685645906,0.07894176244735718,17.159884868476183,17.159884868476183,0.0,18.0,1.0,11,0,2,0,8.0,5.0
19,1,merge_courtesy,adaptive,True,0.05,13,0,27.42420215023432,0.0,0.0,0.0,18.01058511812185,18.01058511812185,0.0,nan,0.0,13,0,0,0,0.0,13.0
20,1,merge_courtesy,adaptive,True,0.05,13,0,27.80128461713882,0.0,0.0,0.0,18.206668000912188,18.206668000912188,0.0,nan,0.0,13,0,0,0,0.0,13.0
21,1,merge_courtesy,adaptive,True,0.05,13,0,26.981407213098784,0.0,0.18049140006582165,0.11741217225790024,17.67850960163708,17.67850960163708,0.0,18.0,1.0,11,0,2,0,1.0,12.0
22,1,merge_courtesy,adaptive,True,0.05,13,0,26.981407213098784,0.0,0.35968153498743605,0.23373031616210938,17.577576679117367,17.577576679117367,0.0,18.0,1.0,11,0,2,0,2.0,11.0
23,1,merge_courtesy,adaptive,True,0.05,12,0,29.638203017832648,0.0,2.446028991438839,0.8095405995845795,17.025629278488406,17.025629278488406,0.0,18.0,1.0,6,0,6,0,8.0,4.0
24,1,merge_courtesy,adaptive,True,0.05,13,0,28.135251062216373,0.0,0.0,0.0,18.38033055235252,18.38033055235252,0.0,nan,0.0,13,0,0,0,0.0,13.0
25,1,merge_courtesy,adaptive,True,0.05,12,0,29.22876198863091,0.0,2.7045784427424886,0.7632057331502438,16.72909758447157,16.72909758447157,0.0,18.0,1.0,5,0,7,0,9.0,3.0
26,1,merge_courtesy,adaptive,True,0.05,12,0,29.22876198863091,0.0,0.9556959175631476,0.3067079707980156,16.829097584471572,16.829097584471572,0.0,18.0,1.0,9,0,3,0,8.0,4.0
27,1,merge_courtesy,adaptive,True,0.05,12,0,29.166808471161616,0.0,1.3437516274963963,0.7248092144727707,17.248410744255484,17.248410744255484,0.0,18.0,1.0,8,0,4,0,3.0,9.0
28,1,merge_courtesy,adaptive,True,0.05,13,0,27.750637683406776,0.0,1.7384549301080772,0.4983445629477501,17.728671536122153,17.728671536122153,0.0,18.0,1.0,9,0,4,0,5.0,8.0
29,1,merge_courtesy,adaptive,True,0.05,13,0,26.597800756117696,0.0,2.254590504250605,1.5556033700704575,17.530856393181203,17.530856393181203,0.0,18.0,1.0,9,0,4,0,0.0,13.0
30,1,merge_courtesy,adaptive,True,0.05,13,0,27.416671238329222,0.0,0.0,0.0,18.0066690439312,18.0066690439312,0.0,nan,0.0,13,0,0,0,0.0,13.0
31,1,merge_courtesy,adaptive,True,0.05,13,0,27.801153725865728,0.0,2.020614684117856,0.8826528936624527,17.654695665553593,17.654695665553593,0.0,18.0,1.0,6,0,7,0,7.0,6.0
32,1,merge_courtesy,adaptive,True,0.05,12,0,30.0,0.0,0.7910723555974132,0.4466506689786911,17.499291829928733,17.499291829928733,0.0,18.0,1.0,9,0,3,0,5.0,7.0
33,1,merge_courtesy,adaptive,True,0.05,12,0,30.0,0.0,0.5504041292065482,0.2677311971783638,17.399291829928735,17.399291829928735,0.0,18.0,1.0,9,0,3,0,6.0,6.0
34,1,merge_courtesy,adaptive,True,0.05,13,0,27.80793920474951,0.0,2.0868029314293945,0.6792637780308723,17.458084608292317,17.458084608292317,0.0,18.0,1.0,7,0,6,0,9.0,4.0
35,1,merge_courtesy,adaptive,True,0.05,13,0,27.03872567291224,0.0,0.0,0.0,17.810137349914363,17.810137349914363,0.0,nan,0.0,13,0,0,0,0.0,13.0
36,1,merge_courtesy,adaptive,True,0.05,12,0,29.166808471161616,0.0,0.7447712540140969,0.6024260818958282,17.149116857720635,17.149116857720635,0.0,18.0,1.0,9,0,3,0,4.0,8.0
37,1,merge_courtesy,adaptive,True,0.05,14,0,24.751184792027125,0.0,3.215379524285012,2.264195501804352,17.860663483535188,17.860663483535188,0.0,18.0,1.0,8,0,6,0,0.0,14.0
38,1,merge_courtesy,adaptive,True,0.05,13,0,26.655102277460422,0.0,0.0,0.0,17.61065318427942,17.61065318427942,0.0,nan,0.0,13,0,0,0,0.0,13.0
39,1,merge_courtesy,adaptive,True,0.05,12,0,28.342587322956955,0.9829640998304393,1.3226789189755488,1.6591608822345734,17.05444191501934,17.05444191501934,0.0,18.0,1.0,9,0,3,0,0.0,12.0
40,1,merge_courtesy,adaptive,True,0.05,12,0,30.0,0.0,1.4017869877899143,0.5093414075672626,17.299291829928734,17.299291829928734,0.0,18.0,1.0,7,0,5,0,7.0,5.0
41,1,merge_courtesy,adaptive,True,0.05,12,0,29.16668534050963,0.0,0.9494809401410591,0.564078263938427,17.09905775500768,17.09905775500768,0.0,18.0,1.0,8,0,4,0,5.0,7.0
42,1,merge_courtesy,adaptive,True,0.05,12,0,30.0,0.0,2.327791207316818,0.6723235864192247,17.199291829928736,17.199291829928736,0.0,18.0,1.0,6,0,5,1,8.0,4.0
43,1,merge_courtesy,adaptive,True,0.05,12,0,30.0,0.0,2.3891152804575393,0.7961906120181084,17.199291829928736,17.199291829928736,0.0,18.0,1.0,6,0,6,0,8.0,4.0
44,1,merge_courtesy,adaptive,True,0.05,12,0,30.0,0.0,1.9887001909464408,0.6513484958559275,17.099291829928735,17.099291829928735,0.0,18.0,1.0,5,0,6,1,9.0,3.0
45,1,merge_courtesy,adaptive,True,0.05,13,0,27.03872567291224,0.0,0.0,0.1750515103340149,17.810137349914363,17.810137349914363,0.0,18.0,1.0,12,0,1,0,0.0,13.0
46,1,merge_courtesy,adaptive,True,0.05,12,0,29.166669125773563,0.0,0.7918157445054204,0.7234147638082504,16.99904997193437,16.99904997193437,0.0,18.0,1.0,6,0,6,0,6.0,6.0
47,1,merge_courtesy,adaptive,True,0.05,13,0,27.039601997206645,0.0,0.0,0.0,17.810593038547456,17.810593038547456,0.0,nan,0.0,13,0,0,0,0.0,13.0
48,1,merge_courtesy,adaptive,True,0.05,12,0,30.0,0.0,2.8950317709319195,0.7887030765414238,17.298583827955117,17.298583827955117,0.0,18.0,1.0,6,0,6,0,7.0,5.0
49,1,merge_courtesy,adaptive,True,0.05,12,0,28.813046846239462,0.0,0.44002355094325685,0.24157942086458206,16.97884613919916,16.97884613919916,0.0,18.0,1.0,9,0,3,0,3.0,9.0
50,1,merge_courtesy,adaptive,True,0.05,12,0,29.166666709311343,0.0,2.092692569977361,0.9618077799677849,16.799048812032506,16.799048812032506,0.0,18.0,1.0,4,0,8,0,8.0,4.0
51,1,merge_courtesy,adaptive,True,0.05,13,0,26.655102277460422,0.0,0.0,0.0,17.61065318427942,17.61065318427942,0.0,nan,0.0,13,0,0,0,0.0,13.0
