episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time,mean_courtesy_gap_violation,courtesy_active_steps
0,1,merge_courtesy,adaptive,False,0.05,12,0,28.813046846239462,0.0,1.679791426223217,0.7513230741024017,16.429554316123678,16.429554316123678,0.0,18.0,1.0,5,0,7,0,10.0,2.0,0.0,2
1,1,merge_courtesy,adaptive,False,0.05,13,0,27.03872393124548,0.0,0.2742117247182929,0.175850972533226,17.810136444247647,17.810136444247647,0.0,18.0,1.0,12,0,1,0,0.0,13.0,0.0,6
2,1,merge_courtesy,adaptive,False,0.05,12,0,28.813046846239462,0.0,0.6427523316974495,0.17577100545167923,16.97884613919916,16.97884613919916,0.0,18.0,1.0,9,0,3,0,3.0,9.0,0.0,4
3,1,merge_courtesy,adaptive,False,0.05,12,0,30.0,0.0,1.7835541681776172,0.6803857423365116,17.198583827955115,17.198583827955115,0.0,18.0,1.0,5,0,7,0,8.0,4.0,0.0,3
4,1,merge_courtesy,adaptive,False,0.05,13,0,27.416671238329222,0.0,0.5207804479412751,0.23561521247029305,17.655008984324976,17.655008984324976,0.0,18.0,1.0,10,0,3,0,4.0,9.0,0.0,4
5,1,merge_courtesy,adaptive,False,0.05,13,0,27.750637683406776,0.0,0.799932235200457,0.2517280951142311,17.828671535765306,17.828671535765306,0.0,18.0,1.0,10,0,3,0,4.0,9.0,0.0,4
6,1,merge_courtesy,adaptive,False,0.05,12,0,30.0,0.0,4.081795319034609,1.3353306949138641,16.899291829928735,16.899291829928735,0.0,18.0,1.0,3,0,9,0,11.0,1.0,0.0,1
7,1,merge_courtesy,adaptive,False,0.05,13,0,27.3660375303791,0.0,0.5331835449639725,0.20462962985038757,17.329631345725293,17.329631345725293,0.0,18.0,1.0,11,0,2,0,8.0,5.0,0.0,5
8,1,merge_courtesy,adaptive,False,0.05,13,0,27.750620744936057,0.0,0.4856315285521601,0.20595622807741165,18.180322787366748,18.180322787366748,0.0,18.0,1.0,11,0,2,0,0.0,13.0,0.0,6
9,1,merge_courtesy,adaptive,False,0.05,13,0,26.981407213098784,0.0,0.34514872311191314,0.11753391101956367,17.780331750811367,17.780331750811367,0.0,18.0,1.0,11,0,2,0,0.0,13.0,0.0,6
10,1,merge_courtesy,adaptive,False,0.05,13,0,28.135251062216373,0.0,0.7538050519201229,0.22955512627959251,17.97867049310314,17.97867049310314,0.0,18.0,1.0,10,0,3,0,5.0,8.0,0.0,4
11,1,merge_courtesy,adaptive,False,0.05,12,0,30.0,0.0,2.49335451170643,1.019018765538931,16.998583827955116,16.998583827955116,0.0,18.0,1.0,3,0,8,1,10.0,2.0,0.0,1
12,1,merge_courtesy,adaptive,False,0.05,13,0,27.03872567291224,0.0,1.7485009678236167,0.5853422060608864,17.258477290668978,17.258477290668978,0.0,18.0,1.0,7,0,6,0,6.0,7.0,0.0,2
13,1,merge_courtesy,adaptive,False,0.05,12,0,29.638203017832648,0.0,1.1571306695769292,0.6199864596128464,16.82562927848841,16.82562927848841,0.0,18.0,1.0,7,0,5,0,10.0,2.0,0.0,2
14,1,merge_courtesy,adaptive,False,0.05,12,0,30.0,0.0,3.883883382975086,1.25850323215127,16.998583827955116,16.998583827955116,0.0,18.0,1.0,3,0,8,1,10.0,2.0,0.0,1
15,1,merge_courtesy,adaptive,False,0.05,12,0,29.22876198863091,0.0,4.393179433484403,1.1353538520634174,16.62814689461186,16.62814689461186,0.0,18.0,1.0,3,0,8,1,10.0,2.0,0.0,1
16,1,merge_courtesy,adaptive,False,0.05,12,0,29.2224878754412,0.0,1.0625853731391879,0.5209160894155502,16.62608601014051,16.62608601014051,0.0,18.0,1.0,7,0,5,0,10.0,2.0,0.0,2
17,1,merge_courtesy,adaptive,False,0.05,13,0,27.693449821127423,0.0,1.8828268161468695,0.6337527483701706,17.199885736914997,17.199885736914997,0.0,18.0,1.0,7,0,6,0,11.0,2.0,0.0,2
18,1,merge_courtesy,adaptive,False,0.05,13,0,27.039601997206645,0.0,0.8293046804635349,0.4009528402239084,16.859884868476193,16.859884868476193,0.0,18.0,1.0,8,0,5,0,11.0,2.0,0.0,2
19,1,merge_courtesy,adaptive,False,0.05,13,0,27.42420215023432,0.0,0.17944639297156365,0.35865237563848495,17.609168777889032,17.609168777889032,0.0,18.0,1.0,9,0,4,0,4.0,9.0,0.0,3
20,1,merge_courtesy,adaptive,False,0.05,13,0,27.80128461713882,0.0,0.5383358886181636,0.4055406525731087,17.705007941666807,17.705007941666807,0.0,18.0,1.0,9,0,4,0,6.0,7.0,0.0,3
