episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time,mean_courtesy_gap_violation,courtesy_active_steps
0,1,merge_courtesy,fixed,True,1.0,12,0,30.0,6.530244116167301,0.0,5.433424144983292,11.8454012308784,17.849999999999998,-6.0045987691216,nan,0.0,3,0,9,0,0.0,12.0,41.62979692060097,9
1,1,merge_courtesy,fixed,True,1.0,13,0,27.749774584894283,1.8779250510651817,1.1772698490211075,2.111167147755623,15.56711628315087,17.62822649463793,-2.061110211487056,nan,0.0,7,0,6,0,7.0,6.0,16.48373958767251,5
2,1,merge_courtesy,fixed,True,1.0,12,0,28.813046846239462,3.2636709049357213,0.0,2.6554907858371735,14.484723379557849,17.28026248619494,-2.795539106637092,nan,0.0,6,0,6,0,0.0,12.0,21.147254065357632,6
3,1,merge_courtesy,fixed,True,1.0,12,0,30.0,7.158337147968271,0.0,6.019003480672836,11.302312535012048,17.849999999999998,-6.547687464987952,nan,0.0,2,0,10,0,0.0,12.0,41.94318066216726,10
4,1,merge_courtesy,fixed,True,1.0,13,0,27.42333905172183,3.334819153365022,0.0,2.7133413553237915,15.106072584162595,18.010136306895355,-2.90406372273276,nan,0.0,7,0,6,0,0.0,13.0,22.429174179189506,6
5,1,merge_courtesy,fixed,True,1.0,13,0,27.750637683406776,2.7406918081605247,0.6549828634538597,2.7523639798164368,14.998675649336722,18.02867248049455,-3.0299968311578285,nan,0.0,7,0,6,0,2.0,11.0,23.897368124702705,6
6,1,merge_courtesy,fixed,True,1.0,12,0,30.0,1.3255284092497304,3.9574967750778822,2.6704789996147156,15.268108313773752,17.099291829928735,-1.831183516154986,nan,0.0,3,0,9,0,9.0,3.0,33.95580500979037,3
7,1,merge_courtesy,fixed,True,1.0,13,0,26.655102277460422,3.2600743589114067,0.0,2.6540906727313995,14.772867921726128,17.61065318427942,-2.8377852625532927,nan,0.0,7,0,6,0,0.0,13.0,21.4200939974375,6
8,1,merge_courtesy,fixed,True,1.0,13,0,27.80128461713882,3.2219938513530657,0.0,2.616121292114258,15.469264743099298,18.206668000912188,-2.737403257812888,nan,0.0,7,0,6,0,0.0,13.0,20.467870904596847,6
9,1,merge_courtesy,fixed,True,1.0,13,0,27.03872567291224,2.538284513473454,0.6385398751985859,2.5772289037704468,14.854862106037224,17.608492478013634,-2.753630371976408,nan,0.0,7,0,6,0,3.0,10.0,20.191813260660982,6
10,1,merge_courtesy,fixed,True,1.0,13,0,28.135251062216373,2.055630340746855,1.2653032791753778,2.312265068292618,15.806251789937578,18.078670492746294,-2.272418702808715,nan,0.0,7,0,6,0,4.0,9.0,19.89532818602634,5
11,1,merge_courtesy,fixed,True,1.0,12,0,29.638203017832648,6.886926123523256,0.0,5.753130733966827,11.30470213985447,17.676337448559668,-6.3716353087052005,nan,0.0,3,0,9,0,0.0,12.0,46.60113765569381,9
12,1,merge_courtesy,fixed,True,1.0,13,0,27.03872567291224,3.084739695452032,0.7027391479301102,3.2701782286167145,14.183673406274451,17.658478235036146,-3.4748048287616946,nan,0.0,6,0,7,0,2.0,11.0,30.906458075116316,6
13,1,merge_courtesy,fixed,True,1.0,12,0,29.638203017832648,3.2609123630107075,0.7268210360153521,3.2642334699630737,13.532401032733867,17.225629278488405,-3.693228245754538,nan,0.0,6,0,6,0,6.0,6.0,34.78346619532825,6
14,1,merge_courtesy,fixed,True,1.0,12,0,30.0,1.319778673664169,3.8556844072325616,2.6026207096874714,15.353170005939825,17.198583827955115,-1.8454138220152916,nan,0.0,3,0,9,0,8.0,4.0,34.35661977356876,3
15,1,merge_courtesy,fixed,True,1.0,12,0,29.638203017832648,6.945423108672074,0.0,5.808850049972534,11.21588529035396,17.676337448559668,-6.460452158205711,nan,0.0,3,0,9,0,0.0,12.0,47.686529128045585,9
16,1,merge_courtesy,fixed,True,1.0,12,0,29.2224878754412,1.7707116752900598,2.0979480016836085,2.2972565293312073,14.682228123856367,16.826086010140507,-2.143857886284141,nan,0.0,6,0,6,0,8.0,4.0,26.61436705911722,4
17,1,merge_courtesy,fixed,True,1.0,13,0,27.693449821127423,3.1383387028378102,0.7017073341514819,3.304100200533867,14.055836088104195,17.599885457509057,-3.544049369404863,nan,0.0,6,0,7,0,7.0,6.0,32.09241966485199,6
18,1,merge_courtesy,fixed,True,1.0,13,0,27.039601997206645,1.7076786635893282,1.3652086093711913,2.2419223189353943,15.033155319804198,17.059884868476193,-2.02672954867199,nan,0.0,7,0,6,0,9.0,4.0,24.122992027132376,4
19,1,merge_courtesy,fixed,True,1.0,13,0,27.42420215023432,3.5754855114162063,0.0,2.9319347143173218,14.789913431574485,18.01058511812185,-3.2206716865473606,nan,0.0,7,0,6,0,0.0,13.0,26.87186244139424,6
20,1,merge_courtesy,fixed,True,1.0,13,0,27.80128461713882,2.239585941327392,1.3626852009549704,2.5183504074811935,15.414486476881525,17.90500794130473,-2.490521464423206,nan,0.0,7,0,6,0,4.0,9.0,23.769039502261997,5
21,1,merge_courtesy,fixed,True,1.0,14,0,26.13261738179234,3.1305609161080925,0.7073428764747237,3.1439011693000793,14.520833127262655,18.03355728432651,-3.5127241570638557,nan,0.0,8,0,6,0,8.0,6.0,31.685857606615645,6
22,1,merge_courtesy,fixed,True,1.0,13,0,26.981537810632876,3.1916194966319162,0.7159427877127881,3.1997864842414856,13.630577694803078,17.229691212051893,-3.5991135172488162,nan,0.0,7,0,6,0,7.0,6.0,33.13582339954973,6
23,1,merge_courtesy,fixed,True,1.0,12,0,29.638203017832648,0.5855606767861045,5.400943555666266,2.2096927016973495,15.784944165509248,16.82562927848841,-1.0406851129791588,nan,0.0,3,0,9,0,10.0,2.0,24.6465627302034,2
24,1,merge_courtesy,fixed,True,1.0,12,0,29.22876198863091,2.148563097817101,1.2986511991257816,2.4073220640420914,14.5108406292586,16.92909758447157,-2.4182569552129705,nan,0.0,6,0,6,0,7.0,5.0,22.12043675002188,5
25,1,merge_courtesy,fixed,True,1.0,12,0,29.22876198863091,1.2822871347990545,4.809287069740574,2.6913275867700577,14.973073690535104,16.72909758447157,-1.75602389393647,nan,0.0,3,0,9,0,9.0,3.0,31.318667378124104,3
26,1,merge_courtesy,fixed,True,1.0,12,0,29.22876198863091,1.2533047911267252,2.149638483857146,2.0441283881664276,14.984379151129977,16.72909758447157,-1.744718433341597,nan,0.0,6,0,6,0,9.0,3.0,30.74336972358937,3
27,1,merge_courtesy,fixed,True,1.0,12,0,30.0,6.024469525717052,0.0,4.991779565811157,12.50071966301427,17.849999999999998,-5.34928033698573,nan,0.0,3,0,9,0,0.0,12.0,34.35632885863524,9
28,1,merge_courtesy,fixed,True,1.0,13,0,27.750637683406776,0.6420062547732877,3.7982546948201414,1.7712323367595673,16.45109170548098,17.62867153612738,-1.1775798306464025,nan,0.0,7,0,6,0,6.0,7.0,31.381611440979043,2
29,1,merge_courtesy,fixed,True,1.0,12,0,29.221552852052668,7.064065598130024,0.03744802052485374,5.933678358793259,11.092207618285606,17.476345368985278,-6.384137750699674,nan,0.0,2,0,10,0,0.0,12.0,40.248303609000516,10
30,1,merge_courtesy,fixed,True,1.0,12,0,28.812111822850934,2.0761598385602196,1.2838480210288745,2.338337704539299,14.443194412358705,16.729105504896605,-2.2859110925378974,nan,0.0,6,0,6,0,7.0,5.0,20.228214832568565,5
31,1,merge_courtesy,fixed,True,1.0,12,0,28.86696500646356,2.853527306015868,2.457827871356755,3.595692530274391,13.397918284898818,16.755435033031244,-3.3575167481324235,nan,0.0,3,0,9,0,7.0,5.0,41.25993383051518,5
32,1,merge_courtesy,fixed,True,1.0,12,0,30.0,6.279335701005034,0.0,5.1910480260849,12.03998279195245,17.749291998026376,-5.709309206073929,nan,0.0,3,0,9,0,1.0,11.0,37.924755573646244,9
33,1,merge_courtesy,fixed,True,1.0,12,0,30.0,1.1358839575586042,2.127717889616732,2.153479352593422,15.54399347276538,17.099291829928735,-1.5552983571633572,nan,0.0,4,0,8,0,9.0,3.0,24.553555893575417,3
34,1,merge_courtesy,fixed,True,1.0,12,0,29.22876198863091,7.1260921480406445,0.0,5.919965624809265,10.847917600953135,17.479805754542834,-6.631888153589701,nan,0.0,3,0,9,0,0.0,12.0,50.28022022716147,9
35,1,merge_courtesy,fixed,True,1.0,13,0,27.749774584894283,2.794045444469938,0.6701807287125197,2.826003074645996,14.649840184440452,17.728226215234404,-3.0783860307939515,nan,0.0,7,0,6,0,6.0,7.0,24.752902693313317,6
36,1,merge_courtesy,fixed,True,1.0,12,0,30.0,6.125696728730288,0.0,5.078530430793762,12.335028775380762,17.749291998026376,-5.4142632226456175,nan,0.0,3,0,9,0,1.0,11.0,35.37365418069185,9
37,1,merge_courtesy,fixed,True,1.0,12,0,29.638203017832648,1.1057208222044075,4.356979463451027,2.456132471561432,15.43294150996175,16.925629278488408,-1.492687768526657,nan,0.0,3,0,9,0,9.0,3.0,22.740373400788567,3
38,1,merge_courtesy,fixed,True,1.0,13,0,26.655102277460422,3.4751337043596005,0.0,2.8360221683979034,14.573542827607033,17.61065318427942,-3.0371103566723856,nan,0.0,7,0,6,0,0.0,13.0,24.456838145218764,6
39,1,merge_courtesy,fixed,True,1.0,12,0,30.0,5.851120093480181,0.0,4.846059441566467,12.738106728204297,17.849999999999998,-5.111893271795703,nan,0.0,3,0,9,0,0.0,12.0,32.247726232201586,9
40,1,merge_courtesy,fixed,True,1.0,12,0,30.0,2.444971964887233,3.1008997951897044,3.2723010033369064,14.478076757296783,17.299291829928734,-2.821215072631953,nan,0.0,3,0,9,0,7.0,5.0,29.494093593956006,5
41,1,merge_courtesy,fixed,True,1.0,12,0,30.0,6.482533815946347,0.0,5.37635600566864,11.83211317150958,17.749291998026376,-5.917178826516799,nan,0.0,3,0,9,0,1.0,11.0,40.61064541675008,9
42,1,merge_courtesy,fixed,True,1.0,12,0,30.0,2.692362236216248,3.257100182901224,3.419594405218959,14.138266205616256,17.299291829928734,-3.1610256243124795,nan,0.0,3,0,9,0,7.0,5.0,36.6109312452071,5
43,1,merge_courtesy,fixed,True,1.0,12,0,30.0,0.6103910312170865,3.8842942219553676,2.2200170755386353,15.885672779384283,16.999291829928737,-1.113619050544454,nan,0.0,3,0,9,0,10.0,2.0,28.085539219276676,2
44,1,merge_courtesy,fixed,True,1.0,12,0,30.0,2.01702670141752,3.134114810024647,3.0028384663164616,14.692545144424207,17.199291829928736,-2.50674668550453,nan,0.0,3,0,9,0,8.0,4.0,35.886027752955286,4
45,1,merge_courtesy,fixed,True,1.0,13,0,26.655102277460422,3.475679815485866,0.7387886643153082,3.468028038740158,13.767494086238043,17.458601602802784,-3.69110751656474,nan,0.0,6,0,7,0,3.0,10.0,27.03182664017902,7
46,1,merge_courtesy,fixed,True,1.0,12,0,30.0,6.615133955466219,0.0,5.489713817834854,11.760958111817812,17.849999999999998,-6.0890418881821855,nan,0.0,3,0,9,0,0.0,12.0,42.70958513866706,9
47,1,merge_courtesy,fixed,True,1.0,13,0,27.039601997206645,3.6698389576183,0.0,3.000105381011963,14.434954724811048,17.810593038547456,-3.3756383137364105,nan,0.0,7,0,6,0,0.0,13.0,29.120885700790826,6
48,1,merge_courtesy,fixed,True,1.0,12,0,30.0,1.2604529756574507,5.576961617894828,2.7294476330280304,15.437966352585507,17.198583827955115,-1.7606174753696098,nan,0.0,3,0,9,0,8.0,4.0,31.276558708919918,3
49,1,merge_courtesy,fixed,True,1.0,12,0,28.813046846239462,1.9153293336033248,1.426113284471659,2.4257702678442,14.583982190819722,16.97884613919916,-2.3948639483794425,nan,0.0,6,0,6,0,3.0,9.0,32.65997228837248,4
50,1,merge_courtesy,fixed,True,1.0,12,0,30.0,7.105023014697604,0.0,5.872265815734863,11.127308539163772,17.749291998026376,-6.621983458862607,nan,0.0,3,0,9,0,1.0,11.0,50.02767456590278,9
51,1,merge_courtesy,fixed,True,1.0,13,0,27.366137963660552,2.3664315659205113,0.6055868122796992,2.399818480014801,14.887726233003422,17.429683292054168,-2.541957059050741,nan,0.0,7,0,6,0,7.0,6.0,17.435731014400485,6
52,1,merge_courtesy,fixed,True,1.0,12,0,30.0,6.389972460590862,0.0,5.291628777980804,11.925917083778401,17.749291998026376,-5.823374914247977,nan,0.0,3,0,9,0,1.0,11.0,39.45116146956466,9
53,1,merge_courtesy,fixed,True,1.0,12,0,30.0,2.6356093148023234,3.193142100797049,3.473158597946167,14.205979100091836,17.299291829928734,-3.093312729836899,nan,0.0,3,0,9,0,7.0,5.0,35.06396071628574,5
54,1,merge_courtesy,fixed,True,1.0,12,0,28.813046846239462,3.5510991269603327,0.0,2.8974398970603943,14.159107526779497,17.28026248619494,-3.1211549594154437,nan,0.0,6,0,6,0,0.0,12.0,25.763043674834353,6
55,1,merge_courtesy,fixed,True,1.0,13,0,27.750637683406776,2.717239763012126,0.6740034368603814,2.7575292587280273,15.124486111203003,18.02867248049455,-2.9041863692915464,nan,0.0,7,0,6,0,2.0,11.0,22.84065987659503,6
56,1,merge_courtesy,fixed,True,1.0,12,0,29.583335506289604,7.11235734221873,0.03525281243091771,5.938666760921478,10.919610984871925,17.549293070069755,-6.629682085197832,nan,0.0,3,0,9,0,1.0,11.0,50.039578899244596,9
57,1,merge_courtesy,fixed,True,1.0,12,0,30.0,6.049339172106017,0.0,5.010404646396637,12.556864210299066,17.849999999999998,-5.293135789700933,nan,0.0,3,0,9,0,0.0,12.0,34.4633181340962,9
58,1,merge_courtesy,fixed,True,1.0,13,0,27.80793920474951,2.626542391466721,0.6551630663470028,2.6641265749931335,14.871060248733624,17.65942021639847,-2.788359967664844,nan,0.0,7,0,6,0,7.0,6.0,21.240801557358925,6
59,1,merge_courtesy,fixed,True,1.0,12,0,28.813046846239462,2.7106405038341084,0.6550489642767271,2.7426286935806274,14.203430812918546,17.17886749425866,-2.975436681340115,nan,0.0,6,0,6,0,1.0,11.0,23.225236071296518,6
60,1,merge_courtesy,fixed,True,1.0,12,0,30.0,1.30531945930516,3.860893046681618,2.517016679048538,15.288982796488197,17.099291829928735,-1.810309033440541,nan,0.0,4,0,8,0,9.0,3.0,33.14132040829869,3
61,1,merge_courtesy,fixed,True,1.0,13,0,27.42333905172183,3.7677877148991925,0.0,3.0805697441101074,14.553437426823562,18.010136306895355,-3.4566988800717886,nan,0.0,7,0,6,0,0.0,13.0,30.584958497900672,6
62,1,merge_courtesy,fixed,True,1.0,13,0,27.039601997206645,1.309173014573727,2.2327920344107786,2.151696801185608,15.483284530112439,17.308931795064794,-1.8256472649523572,nan,0.0,7,0,6,0,6.0,7.0,33.64948499700753,3
63,1,merge_courtesy,fixed,True,1.0,12,0,29.638203017832648,2.987995932712947,2.346026175793057,3.5766954720020294,13.875301396478502,17.225629278488405,-3.3503278820099043,nan,0.0,3,0,9,0,6.0,6.0,28.832601213337494,6
64,1,merge_courtesy,fixed,True,1.0,13,0,27.42420215023432,1.7307193304638266,2.0896098880408065,2.4183691293001175,15.193261649949779,17.259876948050582,-2.066615298100803,nan,0.0,6,0,7,0,9.0,4.0,24.96748294464905,4
65,1,merge_courtesy,fixed,True,1.0,12,0,29.22876198863091,2.714623285265136,3.2995968556030366,3.4517414811998606,13.849287502857246,17.02814689461188,-3.1788593917546324,nan,0.0,3,0,9,0,6.0,6.0,37.085456829701464,5
66,1,merge_courtesy,fixed,True,1.0,13,0,27.693449821127423,3.069054421246535,0.705102714455851,3.0912462770938873,14.16130093355519,17.599885457509057,-3.4385845239538693,nan,0.0,7,0,6,0,7.0,6.0,30.396105693898843,6
67,1,merge_courtesy,fixed,True,1.0,13,0,27.42333905172183,3.185987169149991,0.0,2.581543117761612,15.306369689590744,18.010136306895355,-2.7037666173046073,nan,0.0,7,0,6,0,0.0,13.0,19.92539034058841,6
68,1,merge_courtesy,fixed,True,1.0,13,0,27.42333905172183,3.8871103222478998,0.0,3.183834493160248,14.473147517192727,18.010136306895355,-3.536988789702624,nan,0.0,7,0,6,0,0.0,13.0,32.249464435776005,6
69,1,merge_courtesy,fixed,True,1.0,13,0,27.42420215023432,3.9457923406186874,0.0,3.239263504743576,14.349323108421478,18.01058511812185,-3.6612620097003674,nan,0.0,7,0,6,0,0.0,13.0,34.149700718136415,6
70,1,merge_courtesy,fixed,True,1.0,12,0,30.0,6.974980145116703,0.0,5.79599928855896,11.220618835075662,17.749291998026376,-6.528673162950717,nan,0.0,3,0,9,0,1.0,11.0,48.42378724422853,9
71,1,merge_courtesy,fixed,True,1.0,13,0,28.135251062216373,3.099407749324124,0.7084323983674093,3.2806555032730103,14.694284224836466,18.17867049168582,-3.484386266849355,nan,0.0,6,0,7,0,3.0,10.0,31.12657423324002,6
72,1,merge_courtesy,fixed,True,1.0,8,1,30.0,1.308565472424366,3.091979320243378,2.1764691919088364,9.699725817668122,11.499291829928735,-1.799566012260614,nan,0.0,2,0,6,0,5.0,3.0,32.843473241144956,3
73,1,merge_courtesy,fixed,True,1.0,12,0,29.638203017832648,7.117385571990925,0.0,5.981014370918274,11.041794406805494,17.676337448559668,-6.634543041754176,nan,0.0,3,0,9,0,0.0,12.0,50.22245188526244,9
74,1,merge_courtesy,fixed,True,1.0,12,0,29.638203017832648,1.9257903840050226,3.981547342275331,2.9120794385671616,14.658004602279357,17.025629278488406,-2.3676246762090503,nan,0.0,4,0,8,0,8.0,4.0,32.18196362696686,4
75,1,merge_courtesy,fixed,True,1.0,12,0,30.0,6.126522734490364,0.0,5.074550539255142,12.441677095479958,17.849999999999998,-5.408322904520042,nan,0.0,3,0,9,0,0.0,12.0,35.53262081804384,9
76,1,merge_courtesy,fixed,True,1.0,12,0,30.0,1.9927069530203405,3.949922485535652,3.105780601501465,14.695839056948033,17.199291829928736,-2.5034527729807037,nan,0.0,3,0,9,0,8.0,4.0,35.62547223653252,4
77,1,merge_courtesy,fixed,True,1.0,12,0,29.2224878754412,0.6019641414041793,3.51795774366971,1.645143762230873,15.518516067784132,16.62608601014051,-1.107569942356378,nan,0.0,6,0,6,0,10.0,2.0,27.74519147279758,2
78,1,merge_courtesy,fixed,True,1.0,12,0,29.22876198863091,0.6350855366252627,5.48975494864965,2.13322713971138,15.462606881289503,16.629097584471573,-1.1664907031820708,nan,0.0,4,0,8,0,10.0,2.0,30.78635818534746,2
79,1,merge_courtesy,fixed,True,1.0,13,0,27.750637683406776,2.7461812006590414,0.6601466674497924,2.768508791923523,15.006707019324836,18.02867248049455,-3.0219654611697124,nan,0.0,7,0,6,0,2.0,11.0,23.88384315162126,6
80,1,merge_courtesy,fixed,True,1.0,12,0,30.0,0.6309146164069651,3.908538852232836,2.2346272617578506,15.8366383372588,16.999291829928737,-1.1626534926699388,nan,0.0,3,0,9,0,10.0,2.0,30.569314979384146,2
81,1,merge_courtesy,fixed,True,1.0,12,0,30.0,3.1844661988536274,2.4352764663816497,3.7445697635412216,13.840031060293096,17.399291829928735,-3.559260769635639,nan,0.0,3,0,9,0,6.0,6.0,32.64412954517137,6
82,1,merge_courtesy,fixed,True,1.0,12,0,30.0,1.9195900115310105,3.9772011404608985,3.0210095047950745,14.842056607560972,17.199291829928736,-2.3572352223677653,nan,0.0,3,0,9,0,8.0,4.0,31.920169811739786,4
83,1,merge_courtesy,fixed,True,1.0,14,0,25.822611223350602,3.600825394439309,0.0,2.9454695284366608,15.19177655514266,18.46066228507634,-3.268885729933676,nan,0.0,8,0,6,0,0.0,14.0,27.530962778401303,6
84,1,merge_courtesy,fixed,True,1.0,12,0,29.221552852052668,7.28207741366017,0.0,6.112735450267792,10.86970282216298,17.476345368985278,-6.606642546822301,nan,0.0,2,0,10,0,0.0,12.0,43.12260806166609,10
85,1,merge_courtesy,fixed,True,1.0,12,0,30.0,6.111962835664856,0.0,5.112810909748077,12.488122430762548,17.849999999999998,-5.361877569237451,nan,0.0,3,0,9,0,0.0,12.0,35.26822048344002,9
86,1,merge_courtesy,fixed,True,1.0,14,0,25.822598942267394,2.745955270886522,0.6720312183600081,2.78783518075943,14.88420693402292,17.8599469581941,-2.9757400241711807,nan,0.0,8,0,6,0,8.0,6.0,23.563999201709603,6
87,1,merge_courtesy,fixed,True,1.0,12,0,30.0,1.2241803284750534,3.7842893203623333,2.376254662871361,15.391405838987684,17.099291829928735,-1.707885990941053,nan,0.0,4,0,8,0,9.0,3.0,29.438508563360926,3
88,1,merge_courtesy,fixed,True,1.0,13,0,28.135251062216373,2.446366691597363,1.3835736095293059,2.702500745654106,15.220782732876819,18.078670492746294,-2.8578877598694756,nan,0.0,7,0,6,0,4.0,9.0,30.00766262214456,5
89,1,merge_courtesy,fixed,True,1.0,13,0,27.42333905172183,3.384655405354681,0.0,2.761804521083832,15.009155689672037,18.010136306895355,-3.000980617223316,nan,0.0,7,0,6,0,0.0,13.0,23.562412661358504,6
90,1,merge_courtesy,fixed,True,1.0,12,0,28.813046846239462,2.970624640578891,0.0,2.407427102327347,14.747682473420099,17.28026248619494,-2.532580012774843,nan,0.0,6,0,6,0,0.0,12.0,17.3628398590122,6
91,1,merge_courtesy,fixed,True,1.0,13,0,26.982300475863916,2.773666830117017,0.6640313840806825,2.8008666932582855,14.16826464170441,17.230087797973596,-3.061823156269189,nan,0.0,7,0,6,0,7.0,6.0,24.440783133895888,6
92,1,merge_courtesy,fixed,True,1.0,13,0,27.42333905172183,3.762339341673647,0.0,3.0887177288532257,14.613418440853268,18.010136306895355,-3.396717866042083,nan,0.0,7,0,6,0,0.0,13.0,29.846152592298694,6
93,1,merge_courtesy,fixed,True,1.0,13,0,27.42420215023432,3.1633033420617482,1.524585727006655,3.4489010721445084,13.937102202256042,17.45987694805057,-3.522774745794531,nan,0.0,5,0,8,0,7.0,6.0,32.08188482815316,6
94,1,merge_courtesy,fixed,True,1.0,12,0,28.813046846239462,1.1394936644923996,1.3457527914245426,1.9149192571640015,15.007318267247065,16.529554316123676,-1.522236048876612,nan,0.0,6,0,6,0,9.0,3.0,23.76948866658211,3
95,1,merge_courtesy,fixed,True,1.0,13,0,27.749774584894283,2.6367336678242506,0.6386611343006494,2.659170776605606,14.739334964109005,17.629174334669397,-2.8898393705603898,nan,0.0,7,0,6,0,7.0,6.0,21.940439657102687,6
96,1,merge_courtesy,fixed,True,1.0,12,0,30.0,0.5686278643743342,5.226776660247722,2.022221064195037,15.988182977900824,16.999291829928737,-1.0111088520279141,nan,0.0,3,0,9,0,10.0,2.0,23.260220903261867,2
97,1,merge_courtesy,fixed,True,1.0,13,0,27.80783877146805,0.0,2.1460950925952806,1.4413187205791473,16.63145977221982,17.15936799109212,-0.5279082188723022,nan,0.0,6,0,7,0,12.0,1.0,25.081837879763384,1
98,1,merge_courtesy,fixed,True,1.0,12,0,30.0,1.2827374349990825,4.664155402521017,2.645593896508217,15.308589199767221,17.099291829928735,-1.790702630161516,nan,0.0,3,0,9,0,9.0,3.0,32.361574429457505,3
99,1,merge_courtesy,fixed,True,1.0,13,0,28.135251062216373,2.2348164191068323,1.3301511415024811,2.4999289512634277,15.549795050459513,18.078670492746294,-2.5288754422867816,nan,0.0,7,0,6,0,4.0,9.0,24.07617833040634,5
100,1,merge_courtesy,fixed,True,1.0,12,0,30.0,2.31206196767145,2.9824579485948712,3.112791121006012,14.621046532168261,17.299291829928734,-2.678245297760473,nan,0.0,3,0,9,0,7.0,5.0,26.497330436614554,5
101,1,merge_courtesy,fixed,True,1.0,13,0,28.135251062216373,1.1683313548829233,1.3278539987299518,1.9290348440408707,16.271563161951175,17.87867049310837,-1.607107331157198,nan,0.0,7,0,6,0,6.0,7.0,26.177418945837235,3
102,1,merge_courtesy,fixed,True,1.0,12,0,28.812111822850934,3.439362588430111,3.444477080103247,4.103147715330124,12.913742772307318,16.82910522616001,-3.9153624538526897,nan,0.0,3,0,9,0,6.0,6.0,38.965497066658294,6
103,1,merge_courtesy,fixed,True,1.0,12,0,28.813046846239462,1.2266862203535314,2.151575531436061,2.0226539075374603,15.194148576619758,16.878846145962125,-1.6846975693423691,nan,0.0,6,0,6,0,4.0,8.0,28.788731963579504,3
104,1,merge_courtesy,fixed,True,1.0,13,0,27.3660375303791,2.6646690784665714,0.6606022399200159,2.6938362419605255,14.573056396509076,17.429631066321498,-2.8565746698124204,nan,0.0,7,0,6,0,7.0,6.0,22.021256246535525,6
105,1,merge_courtesy,fixed,True,1.0,12,0,30.0,2.4426197806005874,3.1369807278055806,3.305537611246109,14.503189094045071,17.299291829928734,-2.7961027358836654,nan,0.0,3,0,9,0,7.0,5.0,29.15663655805819,5
106,1,merge_courtesy,fixed,True,1.0,12,0,30.0,6.158050160011795,0.0,5.098850578069687,12.293723103491445,17.849999999999998,-5.556276896508555,nan,0.0,3,0,9,0,0.0,12.0,36.34676511010884,9
107,1,merge_courtesy,fixed,True,1.0,13,0,26.655102277460422,3.5179951138524475,0.0,2.8753551840782166,14.537991050931373,17.61065318427942,-3.072662133348048,nan,0.0,7,0,6,0,0.0,13.0,25.120648245602737,6
