episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time,mean_courtesy_gap_violation,courtesy_active_steps
0,1,merge_courtesy,nop,True,nan,12,0,30.0,6.530244116167301,0.0,5.433424144983292,12.8954012308784,18.900000000000002,-6.0045987691216,nan,0.0,12,0,0,0,0.0,12.0,41.62979692060097,9
1,1,merge_courtesy,nop,True,nan,13,0,27.42333905172183,3.0576801438721657,0.0,2.478597342967987,16.533695829106982,19.160136306895346,-2.626440477788367,nan,0.0,13,0,0,0,0.0,13.0,18.530424306338432,6
2,1,merge_courtesy,nop,True,nan,12,0,28.813046846239462,3.2636709049357213,0.0,2.6554907858371735,15.53472337955785,18.33026248619494,-2.795539106637092,nan,0.0,12,0,0,0,0.0,12.0,21.147254065357632,6
3,1,merge_courtesy,nop,True,nan,12,0,30.0,7.158337147968271,0.0,6.019003480672836,12.352312535012048,18.900000000000002,-6.547687464987952,nan,0.0,12,0,0,0,0.0,12.0,41.94318066216726,10
4,1,merge_courtesy,nop,True,nan,13,0,27.42333905172183,3.334819153365022,0.0,2.7133413553237915,16.25607258416259,19.160136306895346,-2.90406372273276,nan,0.0,13,0,0,0,0.0,13.0,22.429174179189506,6
5,1,merge_courtesy,nop,True,nan,13,0,27.80128461713882,3.395674671614384,0.0,2.7523639798164368,16.32667116975436,19.35666800091218,-3.0299968311578285,nan,0.0,13,0,0,0,0.0,13.0,23.897368124702705,6
6,1,merge_courtesy,nop,True,nan,12,0,30.0,7.229177618938028,0.0,5.964726984500885,12.142626014258965,18.900000000000002,-6.757373985741034,nan,0.0,12,0,0,0,0.0,12.0,52.06838970269551,9
7,1,merge_courtesy,nop,True,nan,13,0,26.655102277460422,3.2600743589114067,0.0,2.6540906727313995,15.922867921726128,18.760653184279416,-2.8377852625532927,nan,0.0,13,0,0,0,0.0,13.0,21.4200939974375,6
8,1,merge_courtesy,nop,True,nan,13,0,27.80128461713882,3.2219938513530657,0.0,2.616121292114258,16.619264743099297,19.35666800091218,-2.737403257812888,nan,0.0,13,0,0,0,0.0,13.0,20.467870904596847,6
9,1,merge_courtesy,nop,True,nan,13,0,27.039601997206645,3.1768243886720398,0.0,2.5772289037704468,16.206962666571048,18.960593038547454,-2.753630371976408,nan,0.0,13,0,0,0,0.0,13.0,20.191813260660982,6
