episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time,lane_2_time
0,1,right_lane,adaptive,True,0.000316,40,0,24.143956595220835,28.5,0.0,28.291650898754597,51.878418998102696,46.628418998102696,5.25,18.0,1.0,0,0,40,0,29.0,1.0,10.0
1,1,right_lane,adaptive,True,0.000316,40,0,22.39391909147172,0.0,0.5,3.272515425167512,63.5793364593207,43.8293364593207,19.75,18.0,1.0,0,0,39,1,0.0,1.0,39.0
2,1,right_lane,adaptive,True,0.000316,40,0,21.51862859830373,26.0,2.5,24.962149869650602,49.67846931045281,42.42846931045281,7.25,18.0,1.0,0,0,40,0,22.0,7.0,11.0
3,1,right_lane,adaptive,True,0.000316,40,0,21.643957345971565,9.5,0.0,10.837912721774956,58.130331753152795,42.630331753152795,15.5,18.0,1.0,0,0,39,1,0.0,18.0,22.0
4,1,right_lane,adaptive,True,0.000316,40,0,22.643957345971565,4.0,3.0,7.649663121043886,61.978228641023186,44.22822864102319,17.75,18.0,1.0,0,0,39,1,1.0,7.0,32.0
5,1,right_lane,adaptive,True,0.000316,40,0,21.393957345971565,40.0,0.0,37.15131676197052,42.23033175355451,42.23033175355451,0.0,18.0,1.0,0,0,40,0,40.0,0.0,0.0
6,1,right_lane,adaptive,True,0.000316,40,0,24.64395659522039,30.0,4.5,28.94608340319246,52.42793709108349,47.42793709108349,5.0,18.0,1.0,0,0,40,0,24.0,12.0,4.0
7,1,right_lane,adaptive,True,0.000316,40,0,23.768957345971565,27.0,0.0,26.488907155844572,52.27642530299664,46.026425302996635,6.25,18.0,1.0,0,0,39,1,22.0,11.0,7.0
8,1,right_lane,adaptive,True,0.000316,40,0,23.143957345971565,28.0,0.5,25.35691311582923,51.52456193480573,45.02456193480574,6.5,18.0,1.0,0,0,40,0,21.0,12.0,7.0
9,1,right_lane,adaptive,True,0.000316,40,0,22.26895733124236,3.0,0.0,6.161811182042584,62.128991116710566,43.628991116710566,18.5,18.0,1.0,0,0,40,0,0.0,6.0,34.0
10,1,right_lane,adaptive,True,0.000316,40,0,26.018957345741875,25.0,0.5,23.077616385535634,57.62188842696067,49.62188842696067,8.0,18.0,1.0,0,0,38,2,19.0,10.0,11.0
11,1,right_lane,adaptive,True,0.000316,40,0,24.51895659522084,28.0,0.0,26.298769196573403,53.72891623221356,47.22891623221356,6.5,18.0,1.0,0,0,37,3,26.0,2.0,12.0
12,1,right_lane,adaptive,True,0.000316,40,0,21.768957345971565,8.0,4.5,11.50960510224104,58.327283142043086,42.82728314204309,15.5,18.0,1.0,0,0,40,0,6.0,6.0,28.0
13,1,right_lane,adaptive,True,0.000316,40,0,21.518957345971565,14.5,0.5,16.127789862453938,55.178329819637284,42.428329819637284,12.75,18.0,1.0,0,0,40,0,10.0,9.0,21.0
14,1,right_lane,adaptive,True,0.000316,40,0,21.250043292099726,5.0,1.0,4.762963721470442,59.74681841957777,41.996818419577764,17.75,18.0,1.0,0,0,37,3,1.0,7.0,32.0
15,1,right_lane,adaptive,True,0.000316,13,1,27.634110598197594,9.0,0.0,8.731796309351921,18.96709841315159,16.96709841315159,2.0,18.0,1.0,0,0,13,0,8.0,2.0,3.0
16,1,right_lane,adaptive,True,0.000316,40,0,23.143957345971565,21.5,0.5,20.435261987695412,54.277464319200924,45.02746431920093,9.25,18.0,1.0,0,0,39,1,18.0,7.0,15.0
17,1,right_lane,adaptive,True,0.000316,40,0,22.518957345971565,27.5,0.0,24.692713731722506,50.77839840433756,44.02839840433756,6.75,18.0,1.0,0,0,37,3,26.0,1.0,13.0
18,1,right_lane,adaptive,True,0.000316,40,0,22.893957345971565,17.5,2.0,18.167104233056307,55.87504870714675,44.625048707146746,11.25,18.0,1.0,0,0,40,0,15.0,5.0,20.0
19,1,right_lane,adaptive,True,0.000316,40,0,22.375005701017248,40.0,0.0,36.43088001012802,44.04907569775921,43.79907569775921,0.25,18.0,1.0,0,0,40,0,39.0,1.0,0.0
20,1,right_lane,adaptive,True,0.000316,40,0,21.393957345971565,34.0,1.5,31.70921251922846,45.47904630246044,42.22904630246044,3.25,18.0,1.0,0,0,40,0,29.0,9.0,2.0
21,1,right_lane,adaptive,True,0.000316,3,1,26.44718792866941,0.5,0.0,0.6619744300842285,5.022729127577893,3.7727291275778936,1.25,18.0,1.0,0,0,3,0,0.0,1.0,2.0
