episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time,lane_2_time
0,1,right_lane,adaptive,False,0.05,40,0,22.268957345971565,0.5,6.0,4.608472113156722,62.878397181182535,43.62839718118255,19.25,18.0,1.0,0,0,34,6,1.0,1.0,38.0
1,1,right_lane,adaptive,False,0.05,40,0,22.39391909147172,0.0,0.5,3.272515425167512,63.5793364593207,43.8293364593207,19.75,18.0,1.0,0,0,35,5,0.0,1.0,39.0
2,1,right_lane,adaptive,False,0.05,40,0,20.768957345971565,8.0,14.5,13.400122832506895,57.48033175355451,41.2303317535545,16.25,18.0,1.0,0,0,40,0,0.0,15.0,25.0
3,1,right_lane,adaptive,False,0.05,40,0,21.643957345971565,0.0,9.5,3.9092843963126143,62.63033175355449,42.63033175355449,20.0,18.0,1.0,0,0,38,2,0.0,0.0,40.0
4,1,right_lane,adaptive,False,0.05,40,0,20.893957345971565,0.0,2.0,4.230959185224492,61.17939651911743,41.42939651911743,19.75,18.0,1.0,0,0,37,3,0.0,1.0,39.0
5,1,right_lane,adaptive,False,0.05,40,0,20.393957345971565,0.5,10.0,5.670478284358978,59.87839717648496,40.62839717648496,19.25,18.0,1.0,0,0,40,0,1.0,1.0,38.0
6,1,right_lane,adaptive,False,0.05,40,0,20.643957345971565,12.0,16.0,18.374747328460217,54.77839455012756,41.02839455012756,13.75,18.0,1.0,0,0,40,0,1.0,23.0,16.0
7,1,right_lane,adaptive,False,0.05,40,0,21.143957260126378,0.5,5.5,3.959839956428823,61.078398267720964,41.82839826772097,19.25,18.0,1.0,0,0,32,8,1.0,1.0,38.0
8,1,right_lane,adaptive,False,0.05,40,0,20.893957345971565,0.0,12.5,4.6425478011369705,61.4303317535545,41.43033175355451,20.0,18.0,1.0,0,0,40,0,0.0,0.0,40.0
9,1,right_lane,adaptive,False,0.05,40,0,22.26895733124236,0.0,1.5,3.6868509275009274,63.379396495550715,43.629396495550715,19.75,18.0,1.0,0,0,36,4,0.0,1.0,39.0
10,1,right_lane,adaptive,False,0.05,40,0,22.39395726012593,0.0,7.0,3.6006728055084523,63.830331616201484,43.83033161620149,20.0,18.0,1.0,0,0,35,5,0.0,0.0,40.0
11,1,right_lane,adaptive,False,0.05,20,1,25.287914662535183,0.0,1.0,1.3428538945352102,34.23033173002814,24.23033173002815,10.0,18.0,1.0,0,0,15,5,0.0,0.0,20.0
12,1,right_lane,adaptive,False,0.05,40,0,21.356377104427974,0.5,2.0,4.315519545335974,61.41827001786976,42.16827001786976,19.25,18.0,1.0,0,0,37,3,1.0,1.0,38.0
13,1,right_lane,adaptive,False,0.05,40,0,20.268957345971565,0.0,20.0,5.834715612232685,60.430331753554505,40.430331753554505,20.0,18.0,1.0,0,0,40,0,0.0,0.0,40.0
14,1,right_lane,adaptive,False,0.05,40,0,20.393957345971565,0.0,16.5,4.863426066935062,60.37939766652045,40.62939766652045,19.75,18.0,1.0,0,0,40,0,0.0,1.0,39.0
15,1,right_lane,adaptive,False,0.05,40,0,21.018957331493432,0.5,9.0,5.2195020943568124,60.878398379878924,41.62839837987893,19.25,18.0,1.0,0,0,39,1,1.0,1.0,38.0
16,1,right_lane,adaptive,False,0.05,40,0,22.893956692596,0.0,7.5,3.976097859987931,64.37939662302982,44.6293966230298,19.75,18.0,1.0,0,0,34,6,0.0,1.0,39.0
17,1,right_lane,adaptive,False,0.05,40,0,22.018957345971565,0.5,10.5,4.77390002627817,62.9803317535545,43.2303317535545,19.75,18.0,1.0,0,0,35,5,0.0,1.0,39.0
18,1,right_lane,adaptive,False,0.05,40,0,21.018957345971565,0.5,11.0,5.369916092604399,60.87839840507327,41.62839840507326,19.25,18.0,1.0,0,0,40,0,1.0,1.0,38.0
19,1,right_lane,adaptive,False,0.05,40,0,20.518957345971565,0.0,9.0,5.0957490131258965,60.57939766773994,40.82939766773995,19.75,18.0,1.0,0,0,40,0,0.0,1.0,39.0
20,1,right_lane,adaptive,False,0.05,40,0,21.018957345971565,3.0,18.5,8.38252840936184,59.87847426191393,41.62847426191394,18.25,18.0,1.0,0,0,40,0,0.0,7.0,33.0
21,1,right_lane,adaptive,False,0.05,40,0,20.893957345971565,0.0,4.0,4.365846265107393,61.17939832963656,41.42939832963656,19.75,18.0,1.0,0,0,40,0,0.0,1.0,39.0
22,1,right_lane,adaptive,False,0.05,3,1,25.0,1.5,0.5,1.5848283767700195,4.598198036970558,3.598198036970558,1.0,18.0,1.0,0,0,3,0,0.0,2.0,1.0
23,1,right_lane,adaptive,False,0.05,40,0,21.268957345971565,3.0,11.0,8.069123037159443,60.02746056245117,42.02746056245116,18.0,18.0,1.0,0,0,40,0,1.0,6.0,33.0
24,1,right_lane,adaptive,False,0.05,40,0,21.643957334666847,2.5,7.0,6.85843937844038,61.37844527833244,42.62844527833244,18.75,18.0,1.0,0,0,40,0,0.0,5.0,35.0
25,1,right_lane,adaptive,False,0.05,40,0,21.143957345971565,0.0,12.0,4.463740135439366,61.8303317535545,41.8303317535545,20.0,18.0,1.0,0,0,38,2,0.0,0.0,40.0
26,1,right_lane,adaptive,False,0.05,40,0,21.39395734574631,0.0,3.0,3.6662090119607456,61.97939651434136,42.22939651434135,19.75,18.0,1.0,0,0,33,7,0.0,1.0,39.0
27,1,right_lane,adaptive,False,0.05,17,1,20.92695846110954,0.5,9.0,3.734531909227371,25.378397176484945,17.628397176484945,7.75,18.0,1.0,0,0,17,0,1.0,1.0,15.0
28,1,right_lane,adaptive,False,0.05,40,0,21.26895734597149,6.0,4.5,9.909724121058389,58.77870601797856,42.02870601797856,16.75,18.0,1.0,0,0,36,4,0.0,13.0,27.0
29,1,right_lane,adaptive,False,0.05,40,0,23.643957345971565,0.0,1.5,3.4530125166184007,65.8303317535545,45.83033175355451,20.0,18.0,1.0,0,0,33,7,0.0,0.0,40.0
30,1,right_lane,adaptive,False,0.05,40,0,20.76895734597105,0.0,0.5,4.109722673892975,61.230331753553685,41.230331753553685,20.0,18.0,1.0,0,0,40,0,0.0,0.0,40.0
31,1,right_lane,adaptive,False,0.05,40,0,24.266504184652195,0.0,3.5,2.9327611251324015,66.8264066954435,46.82640669544351,20.0,18.0,1.0,0,0,37,3,0.0,0.0,40.0
32,1,right_lane,adaptive,False,0.05,40,0,21.51895733126767,0.5,6.5,4.982129213403823,61.67839715295873,42.42839715295872,19.25,18.0,1.0,0,0,38,2,1.0,1.0,38.0
33,1,right_lane,adaptive,False,0.05,40,0,21.018957345971565,0.0,0.5,3.108307134360075,61.379397667741145,41.629397667741145,19.75,18.0,1.0,0,0,40,0,0.0,1.0,39.0
34,1,right_lane,adaptive,False,0.05,40,0,21.268957345971565,0.0,2.0,3.463618596215383,61.77939651470176,42.02939651470176,19.75,18.0,1.0,0,0,38,2,0.0,1.0,39.0
35,1,right_lane,adaptive,False,0.05,40,0,20.393957345971565,0.5,4.5,5.419654808938503,59.87839717648496,40.62839717648496,19.25,18.0,1.0,0,0,40,0,1.0,1.0,38.0
36,1,right_lane,adaptive,False,0.05,40,0,21.393957345971565,0.0,5.5,4.26638685155433,62.2303317535545,42.2303317535545,20.0,18.0,1.0,0,0,39,1,0.0,0.0,40.0
37,1,right_lane,adaptive,False,0.05,40,0,21.143957334666847,2.5,5.5,7.361552871763706,60.07846562945345,41.82846562945345,18.25,18.0,1.0,0,0,40,0,1.0,5.0,34.0
38,1,right_lane,adaptive,False,0.05,40,0,21.393957345971565,1.5,11.0,6.190765984356403,61.47963774912696,42.22963774912696,19.25,18.0,1.0,0,0,40,0,0.0,3.0,37.0
39,1,right_lane,adaptive,False,0.05,40,0,23.518957344031918,4.0,8.0,8.741446622523654,63.12798254069223,45.627982540692216,17.5,18.0,1.0,0,0,38,2,1.0,8.0,31.0
40,1,right_lane,adaptive,False,0.05,40,0,21.143957345971113,0.0,9.5,4.466917275807305,61.830331753553786,41.83033175355379,20.0,18.0,1.0,0,0,38,2,0.0,0.0,40.0
41,1,right_lane,adaptive,False,0.05,40,0,21.268957345971565,0.0,9.5,4.2884408459067345,62.0303317535545,42.0303317535545,20.0,18.0,1.0,0,0,40,0,0.0,0.0,40.0
42,1,right_lane,adaptive,False,0.05,40,0,20.641789654728687,0.0,20.5,5.3577840104699135,60.77592936053184,41.02592936053184,19.75,18.0,1.0,0,0,40,0,0.0,1.0,39.0
