episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time,lane_2_time
0,1,right_lane,fixed,True,0.75,40,0,24.018957345971565,14.5,1.5,16.68266283039702,58.67847393039608,46.42847393039608,12.25,nan,0.0,0,0,40,0,15.0,1.0,24.0
1,1,right_lane,fixed,True,0.75,40,0,22.39391909147172,0.0,0.5,3.272515425167512,63.5793364593207,43.8293364593207,19.75,nan,0.0,0,0,40,0,0.0,1.0,39.0
2,1,right_lane,fixed,True,0.75,40,0,21.75000000171446,12.0,8.5,15.123297553509474,56.79806789106911,42.7980678910691,14.0,nan,0.0,0,0,40,0,11.0,2.0,27.0
3,1,right_lane,fixed,True,0.75,40,0,21.643957345971565,0.0,9.5,3.9092843963126143,62.63033175355449,42.63033175355449,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
4,1,right_lane,fixed,True,0.75,40,0,22.518957345971565,4.5,4.0,7.642569724805071,61.529625233278466,44.02962523327846,17.5,nan,0.0,0,0,40,0,0.0,10.0,30.0
5,1,right_lane,fixed,True,0.75,40,0,21.393957345971565,40.0,0.0,37.15131676197052,42.23033175355451,42.23033175355451,0.0,nan,0.0,0,0,40,0,40.0,0.0,0.0
6,1,right_lane,fixed,True,0.75,40,0,23.518957345971565,9.5,8.5,13.29667195584625,60.37889399246111,45.62889399246111,14.75,nan,0.0,0,0,40,0,10.0,1.0,29.0
7,1,right_lane,fixed,True,0.75,40,0,23.76895734597149,12.5,7.5,15.83663277820051,59.2770242896722,46.0270242896722,13.25,nan,0.0,0,0,40,0,10.0,7.0,23.0
8,1,right_lane,fixed,True,0.75,40,0,20.893957345971565,0.0,12.5,4.6425478011369705,61.4303317535545,41.43033175355451,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
9,1,right_lane,fixed,True,0.75,40,0,22.143957344031854,2.0,1.0,5.791644845623523,62.17937898202733,43.42937898202733,18.75,nan,0.0,0,0,40,0,0.0,5.0,35.0
10,1,right_lane,fixed,True,0.75,40,0,22.39395726012593,0.0,7.0,3.6006728055084523,63.830331616201484,43.83033161620149,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
11,1,right_lane,fixed,True,0.75,40,0,23.89395734597149,7.5,6.0,9.923314994279053,62.47903236842191,46.229032368421926,16.25,nan,0.0,0,0,40,0,5.0,5.0,30.0
12,1,right_lane,fixed,True,0.75,40,0,21.356377104427974,0.5,2.0,4.315519545335974,61.41827001786976,42.16827001786976,19.25,nan,0.0,0,0,40,0,1.0,1.0,38.0
13,1,right_lane,fixed,True,0.75,40,0,20.268957345971565,0.0,20.0,5.834715612232685,60.430331753554505,40.430331753554505,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
14,1,right_lane,fixed,True,0.75,40,0,20.393957345971565,0.0,16.5,4.863426066935062,60.37939766652045,40.62939766652045,19.75,nan,0.0,0,0,40,0,0.0,1.0,39.0
15,1,right_lane,fixed,True,0.75,40,0,22.643957345971565,7.5,0.5,10.380385344324168,59.9783987358324,44.22839873583241,15.75,nan,0.0,0,0,40,0,8.0,1.0,31.0
16,1,right_lane,fixed,True,0.75,40,0,22.893956692596,0.0,7.5,3.976097859987931,64.37939662302982,44.6293966230298,19.75,nan,0.0,0,0,40,0,0.0,1.0,39.0
17,1,right_lane,fixed,True,0.75,40,0,22.018957345971565,0.0,10.5,4.3769309947356305,63.2303317535545,43.2303317535545,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
18,1,right_lane,fixed,True,0.75,40,0,21.018957345971565,0.5,11.0,5.369916092604399,60.87839840507327,41.62839840507326,19.25,nan,0.0,0,0,40,0,1.0,1.0,38.0
19,1,right_lane,fixed,True,0.75,40,0,20.518957345971565,0.0,9.0,5.0957490131258965,60.57939766773994,40.82939766773995,19.75,nan,0.0,0,0,40,0,0.0,1.0,39.0
20,1,right_lane,fixed,True,0.75,40,0,20.893957344482878,0.0,18.0,5.935258528683335,61.17939651231986,41.429396512319855,19.75,nan,0.0,0,0,40,0,0.0,1.0,39.0
21,1,right_lane,fixed,True,0.75,40,0,20.893957345971565,0.0,4.0,4.365846265107393,61.17939832963656,41.42939832963656,19.75,nan,0.0,0,0,40,0,0.0,1.0,39.0
