episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,lane_0_time,lane_1_time,lane_2_time,total_cost,total_avoided_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count
0,1,right_lane,adaptive,True,3.1623,40,0,21.51895734428684,1.0,1.0,38.0,0.5,5.0,61.478398401643936,42.22839840164393,19.25,nan,0.0,0,0,0,40
1,1,right_lane,adaptive,True,3.1623,40,0,21.143957345971565,1.0,4.0,35.0,2.0,10.0,60.62770290837169,41.62770290837168,19.0,18.0,0.05,0,0,2,38
2,1,right_lane,adaptive,True,3.1623,40,0,20.768957345971565,0.0,0.0,40.0,0.0,0.5,61.030331753554506,41.030331753554506,20.0,nan,0.0,0,0,0,40
3,1,right_lane,adaptive,True,3.1623,40,0,21.3939566082395,0.0,0.0,40.0,0.0,8.0,62.03033057318319,42.0303305731832,20.0,nan,0.0,0,0,0,40
4,1,right_lane,adaptive,True,3.1623,40,0,21.018919754889087,0.0,1.0,39.0,0.0,1.0,61.429338546940656,41.42933854694065,20.0,nan,0.0,0,0,0,40
5,1,right_lane,adaptive,True,3.1623,40,0,23.0189509930675,1.0,1.0,38.0,0.5,1.5,64.37844046573316,44.62844046573316,19.75,nan,0.0,0,0,0,40
6,1,right_lane,adaptive,True,3.1623,40,0,21.768951743818228,1.0,1.0,38.0,0.5,6.5,62.378397039131855,42.628397039131855,19.75,nan,0.0,0,0,0,40
7,1,right_lane,adaptive,True,3.1623,40,0,20.518957345971565,0.0,1.0,39.0,0.0,9.0,60.62940545081388,40.62940545081388,20.0,nan,0.0,0,0,0,40
8,1,right_lane,adaptive,True,3.1623,40,0,21.893957345971565,1.0,1.0,38.0,0.5,2.0,62.578398404340774,42.82839840434077,19.75,nan,0.0,0,0,0,40
9,1,right_lane,adaptive,True,3.1623,40,0,21.893957334666847,0.0,5.0,35.0,2.0,5.5,61.82846545526171,42.828465455261714,19.0,18.0,0.075,0,0,3,37
10,1,right_lane,adaptive,True,3.1623,40,0,22.268957345971565,0.0,0.0,40.0,0.0,0.5,63.43033176926014,43.43033176926015,20.0,nan,0.0,0,0,0,40
11,1,right_lane,adaptive,True,3.1623,40,0,21.393914055586297,1.0,1.0,38.0,0.5,4.5,61.77832791186854,42.02832791186854,19.75,nan,0.0,0,0,0,40
12,1,right_lane,adaptive,True,3.1623,40,0,21.018957345971565,1.0,1.0,38.0,0.5,15.5,61.17845854769084,41.42845854769084,19.75,nan,0.0,0,0,0,40
13,1,right_lane,adaptive,True,3.1623,40,0,22.643957345971486,0.0,0.0,40.0,0.0,2.0,64.03033175355436,44.03033175355438,20.0,nan,0.0,0,0,0,40
