episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time,lane_2_time
0,1,right_lane,fixed,True,0.5,40,0,23.268957345971565,7.5,7.5,11.002727855087869,60.77837785213383,45.02837785213382,15.75,nan,0.0,0,0,40,0,8.0,1.0,31.0
1,1,right_lane,fixed,True,0.5,40,0,21.12749644062177,3.5,10.0,8.729532308876514,59.85214088280159,41.6021408828016,18.25,nan,0.0,0,0,40,0,1.0,7.0,32.0
2,1,right_lane,fixed,True,0.5,40,0,20.768957345971565,0.0,0.5,0.8450704802044129,61.05320089613101,41.05320089613101,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
3,1,right_lane,fixed,True,0.5,40,0,21.3939566082395,0.0,8.0,3.695234838014585,62.03033057318319,42.0303305731832,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
4,1,right_lane,fixed,True,0.5,40,0,21.018919754889087,0.0,1.0,3.8306188029700934,61.429338546940656,41.42933854694065,20.0,nan,0.0,0,0,40,0,0.0,1.0,39.0
5,1,right_lane,fixed,True,0.5,40,0,23.0189509930675,1.5,1.5,5.085847597448264,63.878441169520755,44.628441169520755,19.25,nan,0.0,0,0,40,0,2.0,1.0,37.0
6,1,right_lane,fixed,True,0.5,40,0,24.26895734594184,3.5,1.0,6.56291995523884,64.87893900516401,46.628939005164,18.25,nan,0.0,0,0,40,0,2.0,5.0,33.0
7,1,right_lane,fixed,True,0.5,40,0,20.518957345971565,0.0,9.0,4.60807591676712,60.629397667781234,40.62939766778124,20.0,nan,0.0,0,0,40,0,0.0,1.0,39.0
8,1,right_lane,fixed,True,0.5,40,0,24.00032874938229,6.5,1.5,9.439853618974212,62.949111311450864,46.199111311450864,16.75,nan,0.0,0,0,40,0,5.0,5.0,30.0
9,1,right_lane,fixed,True,0.5,40,0,21.893957345971565,4.0,2.0,7.633981250524812,61.20066956043561,43.20066956043561,18.0,nan,0.0,0,0,40,0,3.0,3.0,34.0
10,1,right_lane,fixed,True,0.5,40,0,22.268957345971565,0.0,0.5,1.8422927508163411,63.4303317535545,43.430331753554505,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
11,1,right_lane,fixed,True,0.5,9,1,25.639592686973558,9.0,0.0,8.753063142299652,11.33025336731048,10.83025336731048,0.5,nan,0.0,0,0,9,0,9.0,0.0,0.0
12,1,right_lane,fixed,True,0.5,40,0,21.018957345971565,0.5,15.5,5.821319112082165,60.178466468116454,40.92846646811645,19.25,nan,0.0,0,0,40,0,1.0,1.0,38.0
13,1,right_lane,fixed,True,0.5,40,0,22.643957345971486,0.0,2.0,3.4380056282623173,64.03033175355436,44.03033175355438,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
14,1,right_lane,fixed,True,0.5,40,0,21.393957345971565,0.0,6.0,3.672490268945694,62.030331753554606,42.030331753554606,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
15,1,right_lane,fixed,True,0.5,40,0,24.393914152736198,5.5,3.5,7.521176834118023,64.0783087484399,46.8283087484399,17.25,nan,0.0,0,0,40,0,6.0,1.0,33.0
16,1,right_lane,fixed,True,0.5,40,0,21.768957345971554,0.5,8.0,4.243992287666515,62.37845841345296,42.628458413452975,19.75,nan,0.0,0,0,40,0,1.0,1.0,38.0
17,1,right_lane,fixed,True,0.5,40,0,23.143957345971565,0.5,8.5,4.490393891878739,64.5783991088609,44.82839910886091,19.75,nan,0.0,0,0,40,0,1.0,1.0,38.0
18,1,right_lane,fixed,True,0.5,19,1,24.776752099171972,0.5,0.0,1.0440926465998928,31.930331595370706,22.430331595370706,9.5,nan,0.0,0,0,19,0,0.0,0.0,19.0
19,1,right_lane,fixed,True,0.5,10,1,21.07582937702842,0.5,4.5,1.6985967755317688,14.480331750811368,9.73033175081137,4.75,nan,0.0,0,0,10,0,0.0,0.0,10.0
20,1,right_lane,fixed,True,0.5,40,0,24.018957345937995,12.5,1.0,15.11656685057278,59.228375910162704,45.728375910162704,13.5,nan,0.0,0,0,40,0,13.0,1.0,26.0
21,1,right_lane,fixed,True,0.5,40,0,23.14391406689101,6.5,5.5,10.166435256183831,61.57830860565158,44.828308605651586,16.75,nan,0.0,0,0,40,0,7.0,1.0,32.0
22,1,right_lane,fixed,True,0.5,40,0,24.143957345971565,16.0,2.0,18.897493436932564,58.42834254255909,46.42834254255909,12.0,nan,0.0,0,0,40,0,15.0,4.0,21.0
23,1,right_lane,fixed,True,0.5,40,0,21.018957345971565,0.0,1.5,3.809785973069893,61.4303317535545,41.430331753554505,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
24,1,right_lane,fixed,True,0.5,40,0,21.26895733124236,0.0,9.5,3.9258919508095005,61.82939649113504,41.82939649113504,20.0,nan,0.0,0,0,40,0,0.0,1.0,39.0
25,1,right_lane,fixed,True,0.5,40,0,20.893957345971565,0.0,9.5,4.4650467820465565,61.23033177401779,41.23033177401779,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
26,1,right_lane,fixed,True,0.5,28,1,21.277081922816514,0.5,5.5,3.257658118802283,43.2303317535545,29.230331753554502,14.0,nan,0.0,0,0,28,0,0.0,0.0,28.0
27,1,right_lane,fixed,True,0.5,40,0,21.12749644062177,0.0,16.0,4.885331258177757,60.85306021987104,41.10306021987105,19.75,nan,0.0,0,0,40,0,0.0,1.0,39.0
28,1,right_lane,fixed,True,0.5,40,0,21.893957345971565,0.0,1.0,2.638877360852348,63.02686344757135,43.02686344757134,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
29,1,right_lane,fixed,True,0.5,40,0,20.893957345971565,0.5,6.5,5.185349054634571,60.97839840434078,41.22839840434077,19.75,nan,0.0,0,0,40,0,1.0,1.0,38.0
30,1,right_lane,fixed,True,0.5,40,0,23.518957345971565,0.0,0.0,2.417275256211724,65.4303317535545,45.430331753554505,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
31,1,right_lane,fixed,True,0.5,40,0,24.874956720949182,14.5,6.0,17.465154993580654,60.34615999098825,47.59615999098826,12.75,nan,0.0,0,0,40,0,10.0,10.0,20.0
32,1,right_lane,fixed,True,0.5,40,0,24.018957345971565,12.0,0.5,13.54767001154687,60.255313045838285,46.255313045838285,14.0,nan,0.0,0,0,40,0,12.0,2.0,26.0
33,1,right_lane,fixed,True,0.5,40,0,20.518957345971565,0.0,4.5,4.697209149599075,60.629397667739944,40.629397667739944,20.0,nan,0.0,0,0,40,0,0.0,1.0,39.0
34,1,right_lane,fixed,True,0.5,40,0,21.7667895688869,0.0,12.0,4.751743149725371,62.62592922440636,42.62592922440636,20.0,nan,0.0,0,0,40,0,0.0,1.0,39.0
35,1,right_lane,fixed,True,0.5,40,0,21.393957345971565,1.5,10.5,6.0605744138538284,61.28264152209658,42.03264152209658,19.25,nan,0.0,0,0,40,0,0.0,3.0,37.0
36,1,right_lane,fixed,True,0.5,40,0,21.752495691584983,0.0,2.0,3.299827500082756,62.60399310653599,42.60399310653599,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
37,1,right_lane,fixed,True,0.5,40,0,23.268957345971494,0.5,12.0,5.130847943538811,64.97493184351472,45.22493184351472,19.75,nan,0.0,0,0,40,0,1.0,1.0,38.0
38,1,right_lane,fixed,True,0.5,40,0,21.268957345971565,0.0,6.0,4.024512875395885,61.830331753554596,41.83033175355459,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
