episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time,lane_2_time
0,1,right_lane,fixed,False,1.0,40,0,23.268957345971565,7.5,7.5,11.002727855087869,55.75,40.0,15.75,nan,0.0,0,0,40,0,8.0,1.0,31.0
1,1,right_lane,fixed,False,1.0,40,0,21.12749644062177,10.0,4.5,13.146077014505863,55.0,40.0,15.0,nan,0.0,0,0,40,0,6.0,10.0,24.0
2,1,right_lane,fixed,False,1.0,40,0,20.768957345971565,0.0,0.5,0.8450704802044129,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
3,1,right_lane,fixed,False,1.0,40,0,21.3939566082395,0.0,8.0,3.695234838014585,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
4,1,right_lane,fixed,False,1.0,40,0,21.018919754889087,0.0,1.0,3.8306188029700934,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,1.0,39.0
5,1,right_lane,fixed,False,1.0,40,0,23.018950993067502,2.5,1.0,5.854191924031284,58.75,40.0,18.75,nan,0.0,0,0,40,0,3.0,1.0,36.0
6,1,right_lane,fixed,False,1.0,40,0,24.26895734594184,3.5,0.5,6.143340499020724,58.25,40.0,18.25,nan,0.0,0,0,40,0,3.0,3.0,34.0
7,1,right_lane,fixed,False,1.0,40,0,20.518957345971565,0.0,9.0,4.60807591676712,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,1.0,39.0
8,1,right_lane,fixed,False,1.0,40,0,24.00032874938229,6.5,1.5,9.439853618974212,56.75,40.0,16.75,nan,0.0,0,0,40,0,5.0,5.0,30.0
9,1,right_lane,fixed,False,1.0,40,0,21.893957345971565,4.0,2.0,7.3461317348483135,58.0,40.0,18.0,nan,0.0,0,0,40,0,3.0,3.0,34.0
10,1,right_lane,fixed,False,1.0,40,0,22.268957345971565,0.0,0.5,1.8422927508163411,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
11,1,right_lane,fixed,False,1.0,9,1,25.639592686973558,9.0,0.0,8.753063142299652,9.5,9.0,0.5,nan,0.0,0,0,9,0,9.0,0.0,0.0
12,1,right_lane,fixed,False,1.0,40,0,21.018957345971565,0.5,15.5,5.821319112082165,59.25,40.0,19.25,nan,0.0,0,0,40,0,1.0,1.0,38.0
13,1,right_lane,fixed,False,1.0,40,0,22.643957345971486,0.0,2.0,3.4380056282623173,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
14,1,right_lane,fixed,False,1.0,40,0,21.393957345971565,0.0,6.0,3.672490268945694,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
15,1,right_lane,fixed,False,1.0,40,0,24.393914152736198,6.5,0.5,8.267030713741406,56.75,40.0,16.75,nan,0.0,0,0,40,0,7.0,1.0,32.0
16,1,right_lane,fixed,False,1.0,40,0,21.768957345971554,0.5,8.0,4.243992287666515,59.75,40.0,19.75,nan,0.0,0,0,40,0,1.0,1.0,38.0
17,1,right_lane,fixed,False,1.0,40,0,23.143957345971565,0.5,8.5,4.490393891878739,59.75,40.0,19.75,nan,0.0,0,0,40,0,1.0,1.0,38.0
18,1,right_lane,fixed,False,1.0,19,1,24.776752099171972,0.5,0.0,1.0440926465998928,28.5,19.0,9.5,nan,0.0,0,0,19,0,0.0,0.0,19.0
19,1,right_lane,fixed,False,1.0,10,1,21.07582937702842,0.0,5.0,1.6985967755317688,14.75,10.0,4.75,nan,0.0,0,0,10,0,0.0,0.0,10.0
20,1,right_lane,fixed,False,1.0,40,0,24.018957345937995,12.5,1.0,15.11656685057278,53.75,40.0,13.75,nan,0.0,0,0,40,0,13.0,1.0,26.0
21,1,right_lane,fixed,False,1.0,40,0,23.14391406689101,6.5,5.5,10.166435256183831,56.75,40.0,16.75,nan,0.0,0,0,40,0,7.0,1.0,32.0
22,1,right_lane,fixed,False,1.0,40,0,24.143957345971565,16.0,2.0,18.897493436932564,52.0,40.0,12.0,nan,0.0,0,0,40,0,15.0,4.0,21.0
23,1,right_lane,fixed,False,1.0,40,0,21.018957345971565,0.0,1.5,3.809785973069893,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
24,1,right_lane,fixed,False,1.0,40,0,20.893957345971565,2.5,1.5,6.560039661824703,58.75,40.0,18.75,nan,0.0,0,0,40,0,0.0,6.0,34.0
25,1,right_lane,fixed,False,1.0,40,0,20.893957345971565,0.0,9.5,4.4650467820465565,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
26,1,right_lane,fixed,False,1.0,28,1,21.277081922816514,0.0,6.0,3.257658118802283,42.0,28.0,14.0,nan,0.0,0,0,28,0,0.0,0.0,28.0
27,1,right_lane,fixed,False,1.0,40,0,21.12749644062177,0.0,16.0,4.885331258177757,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,1.0,39.0
28,1,right_lane,fixed,False,1.0,40,0,21.893957345971565,0.0,1.0,2.638877360852348,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
29,1,right_lane,fixed,False,1.0,40,0,20.893957345971565,0.5,6.5,5.185349054634571,59.75,40.0,19.75,nan,0.0,0,0,40,0,1.0,1.0,38.0
30,1,right_lane,fixed,False,1.0,40,0,23.518957345971565,0.0,0.0,2.417275256211724,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
31,1,right_lane,fixed,False,1.0,40,0,24.874956720949182,15.0,5.5,17.702148547163233,52.5,40.0,12.5,nan,0.0,0,0,40,0,11.0,9.0,20.0
32,1,right_lane,fixed,False,1.0,40,0,24.018957345971565,12.5,0.0,13.9348470018449,53.75,40.0,13.75,nan,0.0,0,0,40,0,13.0,1.0,26.0
33,1,right_lane,fixed,False,1.0,40,0,20.518957345971565,0.0,4.5,4.697209149599075,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,1.0,39.0
34,1,right_lane,fixed,False,1.0,40,0,21.7667895688869,0.0,12.0,4.751743149725371,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,1.0,39.0
35,1,right_lane,fixed,False,1.0,5,1,21.15161315963453,0.0,2.5,0.8991883844137192,7.5,5.0,2.5,nan,0.0,0,0,5,0,0.0,0.0,5.0
36,1,right_lane,fixed,False,1.0,40,0,21.752495691584983,0.0,2.0,3.299827500082756,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
37,1,right_lane,fixed,False,1.0,40,0,23.268957345971494,0.5,12.0,5.130847943538811,59.75,40.0,19.75,nan,0.0,0,0,40,0,1.0,1.0,38.0
38,1,right_lane,fixed,False,1.0,40,0,21.268957345971565,0.0,6.0,4.024512875395885,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,40.0
39,1,right_lane,fixed,False,1.0,40,0,21.76895733466685,0.0,6.5,4.3678765840745655,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,1.0,39.0
40,1,right_lane,fixed,False,1.0,24,1,22.32326224328594,0.5,8.0,3.532881748453292,36.0,24.0,12.0,nan,0.0,0,0,24,0,0.0,0.0,24.0
