episode_id,policy_freq,profile,method,value,episode_length,collision,mean_speed,lane_0_time,lane_1_time,lane_2_time,total_cost,total_avoided_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count
0,1,right_lane,naive,nan,40,0,23.268957345971565,8.0,1.0,31.0,7.5,7.5,60.77837785213383,45.02837785213382,15.75,nan,0.0,0,40,0,0
1,1,right_lane,naive,nan,40,0,21.12749644062177,6.0,10.0,24.0,10.0,4.5,56.60265104866626,41.60265104866626,15.0,nan,0.0,0,40,0,0
2,1,right_lane,naive,nan,40,0,20.768957345971565,0.0,0.0,40.0,0.0,0.5,61.05320089613101,41.05320089613101,20.0,nan,0.0,0,40,0,0
3,1,right_lane,naive,nan,40,0,21.3939566082395,0.0,0.0,40.0,0.0,8.0,62.03033057318319,42.0303305731832,20.0,nan,0.0,0,40,0,0
4,1,right_lane,naive,nan,40,0,21.018919754889087,0.0,1.0,39.0,0.0,1.0,61.429338546940656,41.42933854694065,20.0,nan,0.0,0,40,0,0
5,1,right_lane,naive,nan,40,0,23.018950993067502,3.0,1.0,36.0,2.5,1.0,63.378441169520755,44.628441169520755,18.75,nan,0.0,0,40,0,0
6,1,right_lane,naive,nan,40,0,24.26895734594184,3.0,3.0,34.0,3.5,0.5,64.87892618232392,46.62892618232392,18.25,nan,0.0,0,40,0,0
7,1,right_lane,naive,nan,40,0,20.518957345971565,0.0,1.0,39.0,0.0,9.0,60.629397667781234,40.62939766778124,20.0,nan,0.0,0,40,0,0
8,1,right_lane,naive,nan,40,0,24.00032874938229,5.0,5.0,30.0,6.5,1.5,62.949111311450864,46.199111311450864,16.75,nan,0.0,0,40,0,0
9,1,right_lane,naive,nan,40,0,21.893957345971565,3.0,3.0,34.0,4.0,2.0,61.20066956038968,43.20066956038968,18.0,nan,0.0,0,40,0,0
10,1,right_lane,naive,nan,40,0,22.268957345971565,0.0,0.0,40.0,0.0,0.5,63.4303317535545,43.430331753554505,20.0,nan,0.0,0,40,0,0
11,1,right_lane,naive,nan,9,1,25.639592686973558,9.0,0.0,0.0,9.0,0.0,11.33025336731048,10.83025336731048,0.5,nan,0.0,0,9,0,0
