episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time,lane_2_time
0,1,right_lane,nop,False,nan,4,1,21.439140538718384,4.0,0.0,3.9683152437210083,4.0,4.0,0.0,nan,0.0,0,0,0,0,4.0,0.0,0.0
1,1,right_lane,nop,False,nan,5,1,22.151312430974706,5.0,0.0,4.829783737659454,5.0,5.0,0.0,nan,0.0,0,0,0,0,5.0,0.0,0.0
2,1,right_lane,nop,False,nan,1,1,25.0,0.5,0.0,0.16710641980171204,1.0,1.0,0.0,nan,0.0,0,0,0,0,0.0,0.0,1.0
3,1,right_lane,nop,False,nan,5,1,22.151312430974706,2.5,0.0,2.322932317852974,6.25,5.0,1.25,nan,0.0,0,0,0,0,0.0,4.0,1.0
4,1,right_lane,nop,False,nan,3,1,23.55281207133059,0.0,0.0,0.395818893566684,4.25,3.0,1.25,nan,0.0,0,0,0,0,0.0,1.0,2.0
5,1,right_lane,nop,False,nan,3,1,21.915047954523644,3.0,0.0,2.9748564958572388,3.5,3.0,0.5,nan,0.0,0,0,0,0,3.0,0.0,0.0
6,1,right_lane,nop,False,nan,3,1,21.915047954523644,3.0,0.0,2.6348224878311157,3.0,3.0,0.0,nan,0.0,0,0,0,0,3.0,0.0,0.0
7,1,right_lane,nop,False,nan,4,1,22.686285965892733,2.5,0.0,2.4057545363903046,4.75,4.0,0.75,nan,0.0,0,0,0,0,0.0,4.0,0.0
8,1,right_lane,nop,False,nan,3,1,25.0,3.0,0.0,2.9551756978034973,3.0,3.0,0.0,nan,0.0,0,0,0,0,3.0,0.0,0.0
9,1,right_lane,nop,False,nan,2,1,22.829218106995885,0.5,0.0,0.8792550563812256,2.25,2.0,0.25,nan,0.0,0,0,0,0,0.0,2.0,0.0
10,1,right_lane,nop,False,nan,2,1,25.0,1.0,0.0,0.6467484086751938,2.75,2.0,0.75,nan,0.0,0,0,0,0,0.0,1.0,1.0
11,1,right_lane,nop,False,nan,3,1,21.915047954523644,3.0,0.0,2.760829508304596,3.25,3.0,0.25,nan,0.0,0,0,0,0,3.0,0.0,0.0
12,1,right_lane,nop,False,nan,5,1,22.151312430974706,2.5,0.0,2.440771132707596,6.0,5.0,1.0,nan,0.0,0,0,0,0,1.0,4.0,0.0
13,1,right_lane,nop,False,nan,8,1,21.969782976101605,0.0,0.0,0.14090751558251213,11.75,8.0,3.75,nan,0.0,0,0,0,0,0.0,0.0,8.0
14,1,right_lane,nop,False,nan,3,1,23.55281207133059,1.5,0.0,1.1118579357862473,4.0,3.0,1.0,nan,0.0,0,0,0,0,0.0,2.0,1.0
15,1,right_lane,nop,False,nan,4,1,22.686285965892733,4.0,0.0,3.8309653401374817,4.25,4.0,0.25,nan,0.0,0,0,0,0,4.0,0.0,0.0
16,1,right_lane,nop,False,nan,4,1,23.91460905349794,2.0,0.0,2.2814909517765045,4.75,4.0,0.75,nan,0.0,0,0,0,0,1.0,3.0,0.0
17,1,right_lane,nop,False,nan,7,1,22.251152256881806,1.0,0.0,1.14717197639402,10.0,7.0,3.0,nan,0.0,0,0,0,0,1.0,1.0,5.0
18,1,right_lane,nop,False,nan,4,1,21.439140538718384,0.0,0.0,0.03917139999975916,5.75,4.0,1.75,nan,0.0,0,0,0,0,0.0,0.0,4.0
19,1,right_lane,nop,False,nan,5,1,24.131687242798353,4.5,0.0,4.005524575710297,5.75,5.0,0.75,nan,0.0,0,0,0,0,3.0,1.0,1.0
20,1,right_lane,nop,False,nan,5,1,28.84838684036547,4.5,0.0,4.6079214215278625,5.25,5.0,0.25,nan,0.0,0,0,0,0,4.0,1.0,0.0
21,1,right_lane,nop,False,nan,4,1,22.686285965892733,3.5,0.0,3.3902204632759094,4.0,4.0,0.0,nan,0.0,0,0,0,0,4.0,0.0,0.0
22,1,right_lane,nop,False,nan,8,1,24.46832724969842,8.0,0.0,7.735479056835175,8.25,8.0,0.25,nan,0.0,0,0,0,0,8.0,0.0,0.0
23,1,right_lane,nop,False,nan,3,1,21.915047954523644,0.0,0.0,0.07452862267382443,4.0,3.0,1.0,nan,0.0,0,0,0,0,0.0,0.0,3.0
24,1,right_lane,nop,False,nan,3,1,25.0,3.0,0.0,2.6209375858306885,3.5,3.0,0.5,nan,0.0,0,0,0,0,2.0,1.0,0.0
