episode_id,policy_freq,profile,method,value,episode_length,collision,mean_speed,lane_0_time,lane_1_time,lane_2_time,lane_3_time,speed_violation_count,tailgating_violation_count,braking_violation_count,lane_keeping_violation_count,lane_change_tailgating_violation_count,lane_change_braking_violation_count,collision_violation_count,lane_change_collision_violation_count,total_cost,total_avoided_cost,total_reward,unsafe_frames,unsafe_slow_count,unsafe_lane_left_count,unsafe_lane_right_count,unsafe_faster_count,unsafe_idle_count,unsafe_ttc_frames,unsafe_ttc_slow_count,unsafe_ttc_lane_left_count,unsafe_ttc_lane_right_count,unsafe_ttc_faster_count,unsafe_ttc_idle_count,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_scps_augmented_count,outcome_projection_count
0,1,cautious,nop,nan,9,1,27.869371887462915,9.0,0.0,0.0,0.0,6,1,3,9,0,0,2,0,19.0,0.0,1.8329738794866488,2,1,0,0,1,0,4,2,0,0,2,0,nan,0.0,0,0,0,0
1,1,cautious,nop,nan,30,0,29.798981664924852,18.0,5.0,7.0,0.0,30,0,2,22,1,0,0,0,55.0,0.0,11.758777997909814,1,0,0,1,0,0,4,0,0,2,1,1,nan,0.0,0,0,0,0
2,1,cautious,nop,nan,30,0,29.798981664924852,6.0,11.0,3.0,10.0,30,0,5,17,1,1,0,0,54.0,0.0,11.758777997909814,2,0,2,0,0,0,10,0,3,3,2,2,nan,0.0,0,0,0,0
3,1,cautious,nop,nan,30,0,29.46564833159152,9.0,12.0,9.0,0.0,28,0,2,21,0,0,0,0,51.0,0.0,11.358777997909826,0,0,0,0,0,0,9,1,3,3,1,1,nan,0.0,0,0,0,0
4,1,cautious,nop,nan,30,0,29.798981664924852,0.0,5.0,18.0,7.0,30,0,2,5,1,0,0,0,38.0,0.0,11.758777997909814,2,0,1,1,0,0,7,0,2,3,2,0,nan,0.0,0,0,0,0
5,1,cautious,nop,nan,30,0,29.798981664924852,9.0,14.0,3.0,4.0,30,0,2,23,1,2,0,1,58.0,0.0,11.758777997909814,2,0,0,2,0,0,8,0,3,3,2,0,nan,0.0,0,0,0,0
6,1,cautious,nop,nan,30,0,29.465676771291342,14.0,8.0,4.0,4.0,28,0,7,22,0,1,0,0,58.0,0.0,11.35881212554961,4,1,2,1,0,0,12,1,3,3,4,1,nan,0.0,0,0,0,0
7,1,cautious,nop,nan,30,0,28.7008176108607,1.0,11.0,8.0,10.0,25,0,1,13,2,4,1,2,45.0,0.0,10.440981133032833,5,5,0,0,0,0,6,2,2,2,0,0,nan,0.0,0,0,0,0
8,1,cautious,nop,nan,30,0,29.798981664924852,12.0,15.0,3.0,0.0,30,0,3,27,1,0,0,0,61.0,0.0,11.758777997909814,3,0,1,2,0,0,7,0,2,2,0,3,nan,0.0,0,0,0,0
9,1,cautious,nop,nan,30,0,29.798981664924852,6.0,14.0,6.0,4.0,30,0,4,20,0,0,0,0,54.0,0.0,11.758777997909814,3,0,0,3,0,0,8,0,2,3,1,2,nan,0.0,0,0,0,0
10,1,cautious,nop,nan,30,0,29.798981664924852,5.0,4.0,5.0,16.0,30,0,1,9,2,2,0,2,44.0,0.0,11.758777997909814,1,0,1,0,0,0,3,0,2,0,0,1,nan,0.0,0,0,0,0
11,1,cautious,nop,nan,23,1,29.737802171641114,2.0,6.0,7.0,8.0,23,2,5,8,2,1,1,0,41.0,0.0,7.958777997909824,4,0,1,1,1,1,9,0,2,2,3,2,nan,0.0,0,0,0,0
12,1,cautious,nop,nan,11,1,29.451768179057538,4.0,3.0,2.0,2.0,11,0,2,6,1,1,0,1,21.0,0.0,3.1587779987853164,2,0,2,0,0,0,5,0,2,3,0,0,nan,0.0,0,0,0,0
13,1,cautious,nop,nan,30,0,29.798981664924852,0.0,5.0,12.0,13.0,30,0,2,5,1,0,0,0,38.0,0.0,11.758777997909814,1,0,1,0,0,0,5,0,3,1,0,1,nan,0.0,0,0,0,0
14,1,cautious,nop,nan,30,0,29.798981664924852,0.0,5.0,6.0,19.0,30,0,1,6,2,2,0,2,41.0,0.0,11.758777997909814,0,0,0,0,0,0,4,0,3,0,1,0,nan,0.0,0,0,0,0
15,1,cautious,nop,nan,30,0,29.798981664924852,9.0,10.0,11.0,0.0,30,0,3,19,4,1,0,1,57.0,0.0,11.758777997909814,1,0,0,1,0,0,8,0,3,2,1,2,nan,0.0,0,0,0,0
16,1,cautious,nop,nan,30,0,29.798981664924852,0.0,9.0,6.0,15.0,30,0,2,8,0,0,0,0,40.0,0.0,11.758777997909814,2,0,1,1,0,0,6,0,1,3,2,0,nan,0.0,0,0,0,0
17,1,cautious,nop,nan,16,1,29.623090621734303,9.0,7.0,0.0,0.0,15,1,4,16,1,0,1,0,37.0,0.0,5.158777997909955,3,1,0,1,1,0,6,1,1,1,2,1,nan,0.0,0,0,0,0
18,1,cautious,nop,nan,30,0,29.798981664924852,5.0,18.0,3.0,4.0,30,1,2,23,1,0,0,0,57.0,0.0,11.758777997909814,2,0,1,0,0,1,4,0,2,0,0,2,nan,0.0,0,0,0,0
