episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time,lane_2_time,lane_3_time
0,1,right_lane,adaptive,True,0.05,40,0,21.750328749382287,16.999999999999996,3.666666666666667,19.7358555495739,51.000000000000014,40.0,11.0,18.0,1.0,0,0,40,0,4.0,17.0,8.0,11.0
1,1,right_lane,adaptive,True,0.05,40,0,21.393957345971565,27.333333333333332,2.3333333333333335,29.15005463734269,46.333333333333336,40.0,6.333333333333334,18.0,1.0,0,0,40,0,23.0,7.0,2.0,8.0
2,1,right_lane,adaptive,True,0.05,40,0,22.143957345971565,0.6666666666666666,10.333333333333334,3.491581646958366,59.666666666666664,40.0,19.666666666666664,18.0,1.0,0,0,38,2,0.0,0.0,2.0,38.0
3,1,right_lane,adaptive,True,0.05,40,0,22.643956595250053,4.666666666666666,5.333333333333333,6.891631881590001,57.666666666666664,40.0,17.666666666666664,18.0,1.0,0,0,32,8,0.0,4.0,7.0,29.0
4,1,right_lane,adaptive,True,0.05,40,0,20.893957345971565,0.0,0.3333333333333333,0.5610957554242759,60.0,40.0,20.0,18.0,1.0,0,0,9,31,0.0,0.0,1.0,39.0
5,1,right_lane,adaptive,True,0.05,40,0,21.231414695510452,1.6666666666666665,9.666666666666666,5.454405050724745,59.16666666666667,40.0,19.166666666666668,18.0,1.0,0,0,40,0,0.0,1.0,5.0,34.0
6,1,right_lane,adaptive,True,0.05,40,0,23.143957345971565,6.666666666666666,6.999999999999997,9.328334984835237,56.66666666666667,40.0,16.666666666666668,18.0,1.0,0,0,38,2,1.0,9.0,2.0,28.0
7,1,right_lane,adaptive,True,0.05,40,0,20.768957345971508,1.3333333333333333,5.333333333333333,4.5134166814386845,59.33333333333333,40.0,19.333333333333332,18.0,1.0,0,0,40,0,0.0,1.0,3.0,36.0
8,1,right_lane,adaptive,True,0.05,6,1,29.040289365197854,5.666666666666667,0.33333333333333337,5.7152793407440186,6.666666666666667,6.0,0.6666666666666666,18.0,1.0,0,0,6,0,5.0,1.0,0.0,0.0
9,1,right_lane,adaptive,True,0.05,40,0,20.393957345971565,2.333333333333333,12.333333333333336,6.433863282203674,58.333333333333336,40.0,18.333333333333336,18.0,1.0,0,0,40,0,0.0,0.0,8.0,32.0
10,1,right_lane,adaptive,True,0.05,6,1,25.833082726116817,0.6666666666666666,0.6666666666666666,0.9982009492814541,8.833333333333332,6.0,2.8333333333333335,18.0,1.0,0,0,6,0,0.0,0.0,1.0,5.0
11,1,right_lane,adaptive,True,0.05,9,1,25.08403718166118,8.0,0.6666666666666667,8.20369702577591,9.833333333333334,9.0,0.8333333333333333,18.0,1.0,0,0,9,0,6.0,3.0,0.0,0.0
12,1,right_lane,adaptive,True,0.05,40,0,21.018957334666847,0.3333333333333333,9.666666666666666,3.9271974419243634,59.33333333333333,40.0,19.333333333333332,18.0,1.0,0,0,35,5,0.0,1.0,1.0,38.0
13,1,right_lane,adaptive,True,0.05,40,0,21.893957345971565,0.6666666666666666,4.666666666666666,3.2118369607723025,59.66666666666667,40.0,19.666666666666668,18.0,1.0,0,0,38,2,0.0,0.0,2.0,38.0
14,1,right_lane,adaptive,True,0.05,40,0,21.143957345971565,3.0,7.33333333333333,5.745415377605241,58.500000000000014,40.0,18.499999999999996,18.0,1.0,0,0,36,4,0.0,0.0,9.0,31.0
15,1,right_lane,adaptive,True,0.05,40,0,20.643957345971565,11.666666666666673,8.33333333333333,15.169865265488625,54.33333333333335,40.0,14.333333333333337,18.0,1.0,0,0,40,0,1.0,12.0,10.0,17.0
16,1,right_lane,adaptive,True,0.05,40,0,22.85641469551045,0.6666666666666666,4.0,2.749048272097923,59.5,40.0,19.5,18.0,1.0,0,0,25,15,0.0,1.0,2.0,37.0
17,1,right_lane,adaptive,True,0.05,40,0,21.37749644062177,2.333333333333333,5.999999999999998,5.054988911375403,58.833333333333336,40.0,18.833333333333336,18.0,1.0,0,0,33,7,1.0,1.0,5.0,33.0
18,1,right_lane,adaptive,True,0.05,40,0,21.518957344482875,9.000000000000002,6.666666666666665,12.263705010525882,55.499999999999986,40.0,15.499999999999996,18.0,1.0,0,0,38,2,0.0,10.0,7.0,23.0
19,1,right_lane,adaptive,True,0.05,40,0,20.89395734597105,4.999999999999999,8.33333333333333,8.283624827861786,57.50000000000002,40.0,17.5,18.0,1.0,0,0,40,0,0.0,0.0,15.0,25.0
20,1,right_lane,adaptive,True,0.05,40,0,22.893957345971565,13.999999999999998,5.333333333333332,16.875641889870167,53.0,40.0,12.999999999999998,18.0,1.0,0,0,40,0,3.0,16.0,3.0,18.0
