episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time,lane_2_time
0,1,right_lane,adaptive,False,0.05,40,0,21.51895734428684,0.5,5.0,4.650711678536027,61.478398401643936,42.22839840164393,19.25,18.0,1.0,0,0,37,3,1.0,1.0,38.0
1,1,right_lane,adaptive,False,0.05,40,0,21.12749644062177,3.5,10.0,8.729532308876514,59.85214088514219,41.60214088514219,18.25,18.0,1.0,0,0,39,1,1.0,7.0,32.0
2,1,right_lane,adaptive,False,0.05,40,0,20.768957345971565,0.0,0.5,0.8450704802044129,61.05320089613101,41.05320089613101,20.0,18.0,1.0,0,0,10,30,0.0,0.0,40.0
3,1,right_lane,adaptive,False,0.05,40,0,21.3939566082395,0.0,8.0,3.695234838014585,62.03033057318319,42.0303305731832,20.0,18.0,1.0,0,0,37,3,0.0,0.0,40.0
4,1,right_lane,adaptive,False,0.05,40,0,21.018919754889087,0.0,1.0,3.8306188029700934,61.429338546940656,41.42933854694065,20.0,18.0,1.0,0,0,35,5,0.0,1.0,39.0
5,1,right_lane,adaptive,False,0.05,40,0,23.0189509930675,0.5,1.5,4.276691382124227,64.37844046573316,44.62844046573316,19.75,18.0,1.0,0,0,34,6,1.0,1.0,38.0
6,1,right_lane,adaptive,False,0.05,40,0,21.768951743818228,0.5,6.5,4.842592017510469,62.378397039131855,42.628397039131855,19.75,18.0,1.0,0,0,38,2,1.0,1.0,38.0
7,1,right_lane,adaptive,False,0.05,40,0,20.518957345971565,0.0,9.0,4.60807591676712,60.62940545081388,40.62940545081388,20.0,18.0,1.0,0,0,40,0,0.0,1.0,39.0
8,1,right_lane,adaptive,False,0.05,40,0,21.893957345971565,0.5,2.0,4.060710616698998,62.578398404340774,42.82839840434077,19.75,18.0,1.0,0,0,37,3,1.0,1.0,38.0
9,1,right_lane,adaptive,False,0.05,40,0,21.893957345971565,3.5,2.0,7.222266458273225,61.07846110750836,42.82846110750837,18.25,18.0,1.0,0,0,29,11,1.0,6.0,33.0
10,1,right_lane,adaptive,False,0.05,40,0,22.268957345971565,0.0,0.5,1.8422927508163411,63.4303317535545,43.430331753554505,20.0,18.0,1.0,0,0,21,19,0.0,0.0,40.0
11,1,right_lane,adaptive,False,0.05,40,0,21.393914055586297,0.5,4.5,5.010935503989458,61.77832791186854,42.02832791186854,19.75,18.0,1.0,0,0,40,0,1.0,1.0,38.0
12,1,right_lane,adaptive,False,0.05,40,0,22.268957345971565,2.0,5.5,6.064446199213307,62.426818877184,43.426818877184,19.0,18.0,1.0,0,0,37,3,1.0,4.0,35.0
13,1,right_lane,adaptive,False,0.05,40,0,22.768957345971486,0.5,1.0,3.614006608003592,63.97893652082504,44.22893652082503,19.75,18.0,1.0,0,0,37,3,0.0,1.0,39.0
14,1,right_lane,adaptive,False,0.05,40,0,21.393957345971565,0.0,6.0,3.672490268945694,62.030331753554606,42.030331753554606,20.0,18.0,1.0,0,0,39,1,0.0,0.0,40.0
15,1,right_lane,adaptive,False,0.05,40,0,21.01895659544609,0.5,4.0,4.84317954017024,61.178395975644214,41.42839597564421,19.75,18.0,1.0,0,0,38,2,1.0,1.0,38.0
16,1,right_lane,adaptive,False,0.05,40,0,21.768957345971554,0.5,8.0,4.243992287666515,62.37839944777864,42.62839944777865,19.75,18.0,1.0,0,0,28,12,1.0,1.0,38.0
17,1,right_lane,adaptive,False,0.05,40,0,23.143957345971565,0.5,8.5,4.490393891878739,64.5783991088609,44.82839910886091,19.75,18.0,1.0,0,0,31,9,1.0,1.0,38.0
18,1,right_lane,adaptive,False,0.05,19,1,24.776752099171972,0.5,0.0,1.0440926465998928,31.930331595370706,22.430331595370706,9.5,18.0,1.0,0,0,11,8,0.0,0.0,19.0
19,1,right_lane,adaptive,False,0.05,10,1,21.07582937702842,0.0,5.0,1.6985967755317688,14.480331750811368,9.73033175081137,4.75,18.0,1.0,0,0,10,0,0.0,0.0,10.0
20,1,right_lane,adaptive,False,0.05,40,0,21.768957345941836,1.0,8.5,5.684929994517006,61.62804908810769,42.12804908810768,19.5,18.0,1.0,0,0,38,2,1.0,2.0,37.0
21,1,right_lane,adaptive,False,0.05,40,0,21.14395723434353,0.5,4.0,4.476754626244656,61.37839699792141,41.62839699792141,19.75,18.0,1.0,0,0,38,2,1.0,1.0,38.0
22,1,right_lane,adaptive,False,0.05,40,0,22.893957345971565,6.0,9.0,10.661472011357546,61.42513241695404,44.425132416954035,17.0,18.0,1.0,0,0,40,0,3.0,8.0,29.0
23,1,right_lane,adaptive,False,0.05,40,0,21.018957345971565,0.0,1.5,3.809785973069893,61.4303317535545,41.430331753554505,20.0,18.0,1.0,0,0,39,1,0.0,0.0,40.0
24,1,right_lane,adaptive,False,0.05,40,0,21.26895733124236,0.0,9.5,3.9258919508095005,61.82939649113504,41.82939649113504,20.0,18.0,1.0,0,0,38,2,0.0,1.0,39.0
