episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time,lane_2_time,lane_3_time
0,1,right_lane,fixed,True,1.0,40,0,22.518634284587414,25.000000000000004,1.3333333333333335,26.139937579631805,47.33333333333332,40.0,7.333333333333333,nan,0.0,0,0,40,0,6.0,24.0,10.0,0.0
1,1,right_lane,fixed,True,1.0,40,0,21.37749644062177,23.666666666666668,1.3333333333333335,25.419350802898407,47.83333333333333,40.0,7.833333333333333,nan,0.0,0,0,40,0,19.0,8.0,1.0,12.0
2,1,right_lane,fixed,True,1.0,40,0,21.893957345971565,0.3333333333333333,9.333333333333332,3.022620568284765,59.83333333333333,40.0,19.833333333333332,nan,0.0,0,0,40,0,0.0,0.0,1.0,39.0
3,1,right_lane,fixed,True,1.0,40,0,20.891751400432195,0.0,13.666666666666673,4.762278191745281,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,1.0,39.0
4,1,right_lane,fixed,True,1.0,40,0,20.893957345971565,0.0,0.3333333333333333,0.5610957554242759,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,1.0,39.0
5,1,right_lane,fixed,True,1.0,40,0,20.997875600860247,0.6666666666666666,11.333333333333336,4.892801217734814,59.666666666666664,40.0,19.666666666666664,nan,0.0,0,0,40,0,0.0,1.0,2.0,37.0
6,1,right_lane,fixed,True,1.0,40,0,23.143957345971565,7.0,7.33333333333333,9.613304087193683,56.5,40.0,16.5,nan,0.0,0,0,40,0,1.0,10.0,1.0,28.0
7,1,right_lane,fixed,True,1.0,40,0,21.018957345971508,22.66666666666667,2.666666666666667,23.24824995547533,48.66666666666668,40.0,8.666666666666666,nan,0.0,0,0,40,0,13.0,14.0,2.0,11.0
8,1,right_lane,fixed,True,1.0,40,0,23.64395734426102,8.666666666666668,8.666666666666664,11.617436290020123,55.66666666666667,40.0,15.666666666666668,nan,0.0,0,0,40,0,8.0,1.0,3.0,28.0
9,1,right_lane,fixed,True,1.0,40,0,20.393957345971565,0.6666666666666666,13.000000000000005,5.517478600144386,59.66666666666667,40.0,19.666666666666668,nan,0.0,0,0,40,0,0.0,0.0,3.0,37.0
10,1,right_lane,fixed,True,1.0,40,0,21.64395733317816,1.6666666666666665,10.666666666666668,6.192214991897345,59.16666666666667,40.0,19.166666666666664,nan,0.0,0,0,40,0,0.0,0.0,5.0,35.0
11,1,right_lane,fixed,True,1.0,40,0,22.375005701017248,7.0,6.999999999999997,9.998688534018584,56.5,40.0,16.5,nan,0.0,0,0,40,0,5.0,4.0,1.0,30.0
12,1,right_lane,fixed,True,1.0,40,0,21.018957334666847,0.3333333333333333,9.666666666666666,3.9271974419243634,59.83333333333333,40.0,19.833333333333332,nan,0.0,0,0,40,0,0.0,1.0,1.0,38.0
13,1,right_lane,fixed,True,1.0,40,0,22.143957345971554,0.0,4.666666666666666,2.7938312745189933,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,0.0,40.0
14,1,right_lane,fixed,True,1.0,40,0,21.250328749382287,2.333333333333333,8.999999999999998,5.238453853118699,58.83333333333334,40.0,18.83333333333333,nan,0.0,0,0,40,0,0.0,0.0,7.0,33.0
15,1,right_lane,fixed,True,1.0,40,0,20.643957345971565,14.333333333333337,5.999999999999998,17.0499649643898,53.00000000000002,40.0,13.000000000000002,nan,0.0,0,0,40,0,5.0,11.0,8.0,16.0
16,1,right_lane,fixed,True,1.0,40,0,22.85641469551045,0.6666666666666666,4.0,2.749048272097923,59.5,40.0,19.5,nan,0.0,0,0,40,0,0.0,1.0,2.0,37.0
17,1,right_lane,fixed,True,1.0,40,0,21.268957345971565,1.9999999999999998,6.999999999999997,5.01103575900197,59.00000000000001,40.0,19.0,nan,0.0,0,0,40,0,1.0,1.0,4.0,34.0
18,1,right_lane,fixed,True,1.0,40,0,21.64395734596771,10.666666666666666,4.333333333333333,13.69435905944556,54.66666666666665,40.0,14.666666666666659,nan,0.0,0,0,40,0,0.0,15.0,2.0,23.0
19,1,right_lane,fixed,True,1.0,40,0,20.268957345971565,0.3333333333333333,13.000000000000005,5.391328677535057,59.833333333333336,40.0,19.833333333333332,nan,0.0,0,0,40,0,0.0,0.0,1.0,39.0
20,1,right_lane,fixed,True,1.0,40,0,23.25000075075124,13.999999999999996,5.666666666666665,16.76363031193614,53.00000000000001,40.0,13.0,nan,0.0,0,0,40,0,4.0,15.0,2.0,19.0
21,1,right_lane,fixed,True,1.0,40,0,21.393957345971565,34.333333333333336,0.0,34.516636073589325,43.16666666666665,40.0,3.1666666666666656,nan,0.0,0,0,40,0,24.0,16.0,0.0,0.0
22,1,right_lane,fixed,True,1.0,40,0,22.893957345971565,12.000000000000005,5.666666666666665,14.683060210430995,53.666666666666664,40.0,13.666666666666664,nan,0.0,0,0,40,0,7.0,5.0,8.0,20.0
23,1,right_lane,fixed,True,1.0,40,0,20.393957345971565,0.0,11.333333333333336,4.362251851707697,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,1.0,39.0
24,1,right_lane,fixed,True,1.0,40,0,20.268957345971565,0.0,12.000000000000004,4.427128218114376,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,1.0,39.0
25,1,right_lane,fixed,True,1.0,40,0,21.143957345971565,0.0,1.0,1.2925037441309541,60.0,40.0,20.0,nan,0.0,0,0,40,0,0.0,0.0,0.0,40.0
26,1,right_lane,fixed,True,1.0,40,0,20.893957345971565,20.0,0.0,21.124272614717484,50.3333333333333,40.0,10.333333333333325,nan,0.0,0,0,40,0,0.0,21.0,16.0,3.0
27,1,right_lane,fixed,True,1.0,40,0,23.51895669408423,27.666666666666682,0.3333333333333333,28.67561113834381,46.16666666666665,40.0,6.166666666666669,nan,0.0,0,0,40,0,5.0,32.0,3.0,0.0
