episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,total_cost,total_avoided_cost,total_expected_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count,lane_0_time,lane_1_time,lane_2_time,lane_3_time
0,1,right_lane,nop,False,nan,40,0,22.393957247107274,26.0,0.0,26.50494435429573,46.83333333333333,40.0,6.833333333333333,nan,0.0,0,0,0,0,9.0,21.0,10.0,0.0
1,1,right_lane,nop,False,nan,12,1,24.229857446973146,9.666666666666666,0.0,10.040524184703827,13.166666666666666,12.0,1.1666666666666665,nan,0.0,0,0,0,0,6.0,6.0,0.0,0.0
2,1,right_lane,nop,False,nan,40,0,22.268957345971565,11.333333333333336,0.0,11.41090903733857,54.00000000000002,40.0,14.000000000000005,nan,0.0,0,0,0,0,1.0,4.0,23.0,12.0
3,1,right_lane,nop,False,nan,40,0,22.768957332948993,21.666666666666664,0.0,21.376099566579796,49.33333333333334,40.0,9.333333333333332,nan,0.0,0,0,0,0,13.0,10.0,6.0,11.0
4,1,right_lane,nop,False,nan,40,0,20.768957345971565,1.3333333333333333,0.0,2.3505529736867175,59.166666666666664,40.0,19.166666666666664,nan,0.0,0,0,0,0,0.0,1.0,3.0,36.0
5,1,right_lane,nop,False,nan,40,0,21.51895174381868,34.00000000000001,0.0,33.41684916615486,43.333333333333314,40.0,3.333333333333332,nan,0.0,0,0,0,0,23.0,16.0,1.0,0.0
6,1,right_lane,nop,False,nan,40,0,23.268957345971565,15.333333333333345,0.0,15.351533812354319,52.16666666666669,40.0,12.166666666666671,nan,0.0,0,0,0,0,1.0,10.0,25.0,4.0
7,1,right_lane,nop,False,nan,40,0,21.018957345971565,26.333333333333332,0.0,26.531943455338478,46.66666666666668,40.0,6.666666666666666,nan,0.0,0,0,0,0,12.0,19.0,6.0,3.0
8,1,right_lane,nop,False,nan,40,0,24.893957345971565,27.666666666666686,0.0,27.94000653945841,46.49999999999997,40.0,6.5000000000000036,nan,0.0,0,0,0,0,15.0,17.0,5.0,3.0
9,1,right_lane,nop,False,nan,40,0,22.000043292099726,28.000000000000014,0.0,29.108238220214844,45.999999999999986,40.0,6.000000000000002,nan,0.0,0,0,0,0,7.0,30.0,2.0,1.0
10,1,right_lane,nop,False,nan,40,0,23.018957334666787,23.666666666666675,0.0,25.232385363429785,48.16666666666665,40.0,8.166666666666671,nan,0.0,0,0,0,0,0.0,33.0,3.0,4.0
11,1,right_lane,nop,False,nan,7,1,27.23504145618208,6.666666666666666,0.0,6.55649721622467,7.333333333333334,7.0,0.3333333333333333,nan,0.0,0,0,0,0,6.0,1.0,0.0,0.0
12,1,right_lane,nop,False,nan,40,0,22.50000001301917,15.66666666666666,0.0,17.131539558293298,51.66666666666666,40.0,11.666666666666668,nan,0.0,0,0,0,0,0.0,23.0,3.0,14.0
13,1,right_lane,nop,False,nan,40,0,22.018957345971565,5.999999999999998,0.0,6.9517389169431,57.166666666666686,40.0,17.166666666666668,nan,0.0,0,0,0,0,0.0,2.0,13.0,25.0
